gene	cell_type	n_cells	mean_raw	mean_log1p	detection_fraction	mean_log1p_norm_by_gene	detection_norm_by_gene
ADAMTS13	11q13 Invasive Tumor Cells	64036	0.0721781497907427	0.04784344067381382	0.06488537697545131	0.6630757393732585	0.6601148682378559
ANGPT2	11q13 Invasive Tumor Cells	64036	0.0120713348741333	0.007940831971667197	0.010650259229183584	0.16830031217761166	0.18938527633761565
CDH5	11q13 Invasive Tumor Cells	64036	0.02339309138609532	0.015453379638637623	0.020925729277281528	0.020694833991586933	0.03131959203180769
CLEC14A	11q13 Invasive Tumor Cells	64036	0.03988381535386345	0.026468091159900068	0.03594852895246424	0.04155748169744505	0.06097956602794091
COL4A1	11q13 Invasive Tumor Cells	64036	0.05785807983009557	0.03548603470126147	0.04458429633331251	0.03921815326948283	0.06831822522716544
COL4A2	11q13 Invasive Tumor Cells	64036	0.09628958710725218	0.06109583781155651	0.07900243612967706	0.09213451070750399	0.1394141618953008
CXCL8	11q13 Invasive Tumor Cells	64036	0.043553626085327	0.02846966884394887	0.038322193766006624	0.5875885227687535	0.5896827565744269
EGFL7	11q13 Invasive Tumor Cells	64036	0.35272346804922233	0.20632754239338008	0.23903741645324506	0.20559968517527125	0.30681034074903785
EMCN	11q13 Invasive Tumor Cells	64036	0.04664563682928353	0.030693930947153895	0.041258042351177464	0.04385645514497113	0.0650593083263036
FLT1	11q13 Invasive Tumor Cells	64036	0.12132238116059717	0.07884511121563927	0.10397276531950778	0.11278992341297547	0.1685453248337284
GP1BA	11q13 Invasive Tumor Cells	64036	0.012289961896433256	0.008330881067818745	0.011649697045411956	0.33299247168169976	0.3582281841464176
HBB	11q13 Invasive Tumor Cells	64036	0.01372665375726154	0.009119271140361674	0.01244612405521894	0.13917030206253894	0.22502174811783676
IL6	11q13 Invasive Tumor Cells	64036	0.02643825348241614	0.01754452742921018	0.023861577862452372	0.1406210740048672	0.19505426301970546
ITGA2B	11q13 Invasive Tumor Cells	64036	0.011181210569054906	0.0075541820553332575	0.010525329502155038	0.09561369191660664	0.1044893598157488
KDR	11q13 Invasive Tumor Cells	64036	0.03829096133424949	0.024897827921370387	0.033496783059529016	0.028964643684744114	0.0525611821516336
MMRN2	11q13 Invasive Tumor Cells	64036	0.019801361734024612	0.01277754490385711	0.016896745580610908	0.021414330386234054	0.02997069804343654
PECAM1	11q13 Invasive Tumor Cells	64036	0.0740520956961709	0.048479711931903396	0.06488537697545131	0.03375958816791622	0.07275666246733742
PF4	11q13 Invasive Tumor Cells	64036	0.010462864638640764	0.007156123187238734	0.01013492410519083	0.2936332728024037	0.29427476062571944
PLAT	11q13 Invasive Tumor Cells	64036	8.869838840652132	2.01748548104039	0.9560247360859516	1.0	1.0
PPBP	11q13 Invasive Tumor Cells	64036	0.020066837403960272	0.013566815892289915	0.018895621213067648	0.5162658763147775	0.5169002158508061
RAB27A	11q13 Invasive Tumor Cells	64036	0.10867324629895683	0.0711585735052843	0.09505590605284528	0.4515759262491162	0.4675817513691493
SELP	11q13 Invasive Tumor Cells	64036	0.01677181585358236	0.011227751467246411	0.015444437503904054	0.03582426795646067	0.05951422208832375
SERPINE1	11q13 Invasive Tumor Cells	64036	0.011868324067711912	0.008008610174883496	0.011165594353176338	0.042738338523623784	0.054281340227288616
STXBP5	11q13 Invasive Tumor Cells	64036	0.21141233056405773	0.1329007538303924	0.16818664501218064	0.35234416278290714	0.4109991523807593
THBD	11q13 Invasive Tumor Cells	64036	0.03505840464738585	0.02325041883044925	0.03166968580173652	0.056265455476962684	0.07821287810829776
VWF	11q13 Invasive Tumor Cells	64036	0.05264226372665376	0.033807260687592	0.04458429633331251	0.02038689127095691	0.050771817189817395
ADAMTS13	11q13 Invasive Tumor Cells (G1/S)	2374	0.025695029486099412	0.016956942286013327	0.02316764953664701	0.2350110461424653	0.23569732710423527
ANGPT2	11q13 Invasive Tumor Cells (G1/S)	2374	0.011794439764111205	0.007932922034867273	0.010951979780960405	0.16813266666672785	0.19475053823832258
CDH5	11q13 Invasive Tumor Cells (G1/S)	2374	0.019797809604043808	0.012995714006574028	0.017270429654591406	0.017403580980807434	0.025848695824574157
CLEC14A	11q13 Invasive Tumor Cells (G1/S)	2374	0.02611625947767481	0.017981231306766987	0.025695029486099412	0.028232284920516208	0.04358653310151875
COL4A1	11q13 Invasive Tumor Cells (G1/S)	2374	0.10783487784330244	0.06284608363957601	0.07455770850884583	0.06945569887739565	0.11424763293892792
COL4A2	11q13 Invasive Tumor Cells (G1/S)	2374	0.11920808761583825	0.07194214582424152	0.08803706823925864	0.10849109599264085	0.1553574128290089
CXCL8	11q13 Invasive Tumor Cells (G1/S)	2374	0.02737994945240101	0.01832281943491203	0.02527379949452401	0.37816661878759095	0.38890058972198827
EGFL7	11q13 Invasive Tumor Cells (G1/S)	2374	0.22325189553496208	0.13498856075824672	0.16385846672283066	0.1345123645259343	0.21031632936712186
EMCN	11q13 Invasive Tumor Cells (G1/S)	2374	0.02906486941870261	0.01864245474033634	0.02401010951979781	0.026636926417778577	0.03786125150827141
FLT1	11q13 Invasive Tumor Cells (G1/S)	2374	0.07666385846672283	0.05085886414762646	0.06908171861836562	0.07275488998161093	0.11198510176029795
GP1BA	11q13 Invasive Tumor Cells (G1/S)	2374	0.0016849199663016006	0.0011678975241111126	0.0016849199663016006	0.046681867146918944	0.05181128896377421
HBB	11q13 Invasive Tumor Cells (G1/S)	2374	0.008003369839932602	0.0053051526056172695	0.007160909856781803	0.080962576860319	0.1294668482282731
IL6	11q13 Invasive Tumor Cells (G1/S)	2374	0.012215669755686605	0.008224896415895052	0.011373209772535805	0.0659233354815994	0.09296925220696567
ITGA2B	11q13 Invasive Tumor Cells (G1/S)	2374	0.014321819713563605	0.009635154573916678	0.013479359730412805	0.12195267392966092	0.13381525667853356
KDR	11q13 Invasive Tumor Cells (G1/S)	2374	0.04380791912384162	0.025524522357307025	0.03201347935973041	0.029693702504390632	0.050233669213667224
MMRN2	11q13 Invasive Tumor Cells (G1/S)	2374	0.018112889637742206	0.012312537750283944	0.017270429654591406	0.020635008779970543	0.03063352228325715
PECAM1	11q13 Invasive Tumor Cells (G1/S)	2374	0.05433866891322662	0.033627142928993214	0.04507160909856782	0.02341677479728159	0.05053927406917811
PF4	11q13 Invasive Tumor Cells (G1/S)	2374	0.008845829823083403	0.006010281684628084	0.008424599831508003	0.24661658768938308	0.2446142736791431
PLAT	11q13 Invasive Tumor Cells (G1/S)	2374	6.233361415332772	1.6797995900172722	0.9182813816343723	0.8326204108051486	0.9605205252260481
PPBP	11q13 Invasive Tumor Cells (G1/S)	2374	0.013479359730412805	0.008979639242023128	0.012215669755686605	0.34170739538879036	0.3341664326500047
RAB27A	11q13 Invasive Tumor Cells (G1/S)	2374	0.13563605728727884	0.08717433109265708	0.11288963774220724	0.5532127383833855	0.5553062057773114
SELP	11q13 Invasive Tumor Cells (G1/S)	2374	0.013058129738837404	0.008687664860995349	0.011794439764111205	0.027719640464445864	0.045449172710319494
SERPINE1	11q13 Invasive Tumor Cells (G1/S)	2374	0.013058129738837404	0.008566484544040092	0.011373209772535805	0.04571546228442845	0.05529065893063883
STXBP5	11q13 Invasive Tumor Cells (G1/S)	2374	0.19039595619208088	0.12058779618287968	0.15585509688289806	0.3197002640189399	0.3808644420515853
THBD	11q13 Invasive Tumor Cells (G1/S)	2374	0.02695871946082561	0.01803084505388425	0.02485256950294861	0.043634212226005505	0.06137702159032899
VWF	11q13 Invasive Tumor Cells (G1/S)	2374	0.04380791912384162	0.026228555909064234	0.03369839932603201	0.015816682766863755	0.03837514799784763
ADAMTS13	11q13 Invasive Tumor Cells (Mitotic)	2462	0.10844841592201462	0.07215380963724537	0.0982940698619009	1.0	1.0
ANGPT2	11q13 Invasive Tumor Cells (Mitotic)	2462	0.0231519090170593	0.014831350744005966	0.019090170593013808	0.31433997963160404	0.33946565574510335
CDH5	11q13 Invasive Tumor Cells (Mitotic)	2462	0.04955320877335499	0.03306232868860427	0.04508529650690495	0.04427636022577315	0.06747927752092125
CLEC14A	11q13 Invasive Tumor Cells (Mitotic)	2462	0.06498781478472786	0.04308085688832249	0.05848903330625508	0.06764114234120203	0.0992150714463304
COL4A1	11q13 Invasive Tumor Cells (Mitotic)	2462	0.12103980503655565	0.07503957583648756	0.09301380991064176	0.0829315986192093	0.1425286241416799
COL4A2	11q13 Invasive Tumor Cells (Mitotic)	2462	0.20227457351746547	0.12567962926130094	0.15678310316815597	0.189528968955397	0.2766722901007115
CXCL8	11q13 Invasive Tumor Cells (Mitotic)	2462	0.07392363931762795	0.04845171023728991	0.06498781478472786	1.0	1.0
EGFL7	11q13 Invasive Tumor Cells (Mitotic)	2462	0.27051177904142976	0.16641433283432155	0.20389926888708368	0.16582727658412258	0.2617096732969504
EMCN	11q13 Invasive Tumor Cells (Mitotic)	2462	0.09057676685621446	0.05810356918497897	0.0751421608448416	0.08302020943850599	0.11849076524518448
FLT1	11q13 Invasive Tumor Cells (Mitotic)	2462	0.24654752233956134	0.15857726862898391	0.20633631194151097	0.22684878882070986	0.3344820214630809
GP1BA	11q13 Invasive Tumor Cells (Mitotic)	2462	0.03330625507717303	0.02285243893623556	0.03249390739236393	0.913431612260985	0.9991876523151907
HBB	11q13 Invasive Tumor Cells (Mitotic)	2462	0.030869212022745736	0.020345266884845576	0.027213647441104792	0.31049158362831975	0.4920136174676892
IL6	11q13 Invasive Tumor Cells (Mitotic)	2462	0.04670999187652315	0.031091560912844894	0.04224207961007311	0.24920184973308362	0.34530397588366873
ITGA2B	11q13 Invasive Tumor Cells (Mitotic)	2462	0.12469536961819659	0.07900732524711988	0.10073111291632819	1.0	1.0
KDR	11q13 Invasive Tumor Cells (Mitotic)	2462	0.06295694557270512	0.042140561350957506	0.05808285946385053	0.049023808344258235	0.09114020742653693
MMRN2	11q13 Invasive Tumor Cells (Mitotic)	2462	0.04224207961007311	0.027128857204892724	0.034930950446791224	0.045466192101674456	0.061958970928245066
PECAM1	11q13 Invasive Tumor Cells (Mitotic)	2462	0.16734362307067424	0.10759630143863927	0.13931762794476035	0.07492632856526998	0.1562183361585767
PF4	11q13 Invasive Tumor Cells (Mitotic)	2462	0.021933387489845652	0.015203065698715292	0.021933387489845652	0.6238190457235915	0.6368515724730184
PLAT	11q13 Invasive Tumor Cells (Mitotic)	2462	7.280259951259139	1.8656606303181473	0.954914703493095	0.924745505160241	0.9988389080836955
PPBP	11q13 Invasive Tumor Cells (Mitotic)	2462	0.03899268887083672	0.026278738368557132	0.036555645816409424	1.0	1.0
RAB27A	11q13 Invasive Tumor Cells (Mitotic)	2462	0.2258326563769293	0.14722418666291093	0.19496344435418358	0.9342921756805551	0.959028771062481
SELP	11q13 Invasive Tumor Cells (Mitotic)	2462	0.03411860276198213	0.022666581458880897	0.030869212022745736	0.07232202193009866	0.11895267403224272
SERPINE1	11q13 Invasive Tumor Cells (Mitotic)	2462	0.020714865962632008	0.01400790413939962	0.01949634443541836	0.07475386316013827	0.094781134977046
STXBP5	11q13 Invasive Tumor Cells (Mitotic)	2462	0.3460601137286759	0.21345700093523076	0.26320064987814784	0.5659134814288362	0.6431856940730898
THBD	11q13 Invasive Tumor Cells (Mitotic)	2462	0.05280259951259139	0.03573419006091553	0.049959382615759544	0.08647588219979244	0.12338193461578188
VWF	11q13 Invasive Tumor Cells (Mitotic)	2462	0.11169780666125101	0.07168136820353063	0.09423233143785541	0.043226225077004174	0.1073101315621372
ADAMTS13	Apocrine Cells	403	0.05955334987593052	0.039851533966588394	0.05459057071960298	0.5523136500614829	0.5553801037672006
ANGPT2	Apocrine Cells	403	0.017369727047146403	0.012039777329825353	0.017369727047146403	0.2551745573245157	0.3088723462917011
CDH5	Apocrine Cells	403	0.03722084367245657	0.025799522849625754	0.03722084367245657	0.03455016668976555	0.055708531036318204
CLEC14A	Apocrine Cells	403	0.04714640198511166	0.03125169301671315	0.04218362282878412	0.049068202641067656	0.07155616901562437
COL4A1	Apocrine Cells	403	0.05707196029776675	0.03599001188739414	0.04466501240694789	0.039775134479033726	0.06844190955890522
COL4A2	Apocrine Cells	403	0.16377171215880892	0.10608712197712702	0.13895781637717122	0.15998283067788702	0.24521633076257923
CXCL8	Apocrine Cells	403	0.05955334987593052	0.03813156577661335	0.04962779156327544	0.787001441019643	0.7636476426799009
EGFL7	Apocrine Cells	403	0.07444168734491315	0.047023672323650845	0.05955334987593052	0.046857787929712305	0.07643817373567864
EMCN	Apocrine Cells	403	0.04714640198511166	0.030537841720306744	0.03970223325062035	0.04363342994211844	0.06260597175961782
FLT1	Apocrine Cells	403	0.15632754342431762	0.10550259078280257	0.14640198511166252	0.1509241213664805	0.2373253232336424
GP1BA	Apocrine Cells	403	0.02481389578163772	0.0171996818997505	0.02481389578163772	0.6874860583547492	0.7630272952853597
HBB	Apocrine Cells	403	0.017369727047146403	0.012039777329825353	0.017369727047146403	0.18374050096409886	0.3140388386888691
IL6	Apocrine Cells	403	0.04466501240694789	0.0302455761231445	0.04218362282878412	0.24242120031408662	0.3448261263274258
ITGA2B	Apocrine Cells	403	0.02729528535980149	0.018919650089725553	0.02729528535980149	0.23946703714558729	0.27097174417673897
KDR	Apocrine Cells	403	0.07196029776674938	0.04501143853651355	0.05707196029776675	0.05236361513402719	0.08955396390246369
MMRN2	Apocrine Cells	403	0.01240694789081886	0.00859984094987525	0.01240694789081886	0.014412771526563123	0.022006893996384582
PECAM1	Apocrine Cells	403	0.07196029776674938	0.047445258022894995	0.06451612903225806	0.0330392303820476	0.0723426208261856
PF4	Apocrine Cells	403	0.017369727047146403	0.012039777329825353	0.017369727047146403	0.4940215712710401	0.5043424317617866
PLAT	Apocrine Cells	403	3.3101736972704714	1.183031078374597	0.8114143920595533	0.5863888932496921	0.8487378636054486
PPBP	Apocrine Cells	403	0.007444168734491315	0.00515990456992515	0.007444168734491315	0.1963528270481602	0.20363937138130686
RAB27A	Apocrine Cells	403	0.13399503722084366	0.08687520629023925	0.1141439205955335	0.5513144771751856	0.5614760462177838
SELP	Apocrine Cells	403	0.02977667493796526	0.0206396182797006	0.02977667493796526	0.06585461193436933	0.11474264730340143
SERPINE1	Apocrine Cells	403	0.017369727047146403	0.012039777329825353	0.017369727047146403	0.06425085851785921	0.08444262201170445
STXBP5	Apocrine Cells	403	0.14640198511166252	0.09031514267018934	0.1141439205955335	0.23944193252175114	0.2789344814553103
THBD	Apocrine Cells	403	0.062034739454094295	0.040857650860157045	0.05459057071960298	0.09887453435268	0.1348193247095808
VWF	Apocrine Cells	403	0.062034739454094295	0.040857650860157045	0.05459057071960298	0.024638508673329316	0.062166787519590136
ADAMTS13	B Cells	2512	0.0019904458598726115	0.0013796719358279165	0.0019904458598726115	0.019121262519113585	0.020249907880191608
ANGPT2	B Cells	2512	0.007165605095541401	0.00430042707663509	0.0051751592356687895	0.09114450753738636	0.09202583156404812
CDH5	B Cells	2512	0.009554140127388535	0.006278855937931268	0.008359872611464968	0.008408508968982594	0.01251224252017943
CLEC14A	B Cells	2512	0.018710191082802547	0.012005843101531369	0.01552547770700637	0.018850343303569404	0.026335900815346758
COL4A1	B Cells	2512	0.06050955414012739	0.036232638226436256	0.04339171974522293	0.040043278187731304	0.06649079443546597
COL4A2	B Cells	2512	0.061703821656050956	0.03741345203441894	0.04617834394904458	0.056420702629563294	0.08149008353111531
CXCL8	B Cells	2512	0.009554140127388535	0.006507902173959756	0.009156050955414012	0.13431728502642362	0.14088873407643313
EGFL7	B Cells	2512	0.014331210191082803	0.009085087960724197	0.011544585987261146	0.009053038692009702	0.014817757040354238
EMCN	B Cells	2512	0.014729299363057325	0.00986600297108385	0.013535031847133758	0.01409685574345152	0.021343228131227195
FLT1	B Cells	2512	0.032245222929936306	0.020721220372815794	0.027070063694267517	0.02964222921166605	0.043881997988602074
GP1BA	B Cells	2512	0.004777070063694267	0.0029207551408071725	0.0035828025477707007	0.1167450916171898	0.11017117834394903
HBB	B Cells	2512	0.006767515923566879	0.004024492689469505	0.0051751592356687895	0.061418270673300475	0.09356514307842273
IL6	B Cells	2512	0.011146496815286623	0.007034078861850806	0.009156050955414012	0.05637881830556228	0.07484529235970658
ITGA2B	B Cells	2512	0.0035828025477707007	0.0024834094844902494	0.0035828025477707007	0.03143264851357285	0.035567983357304295
KDR	B Cells	2512	0.020700636942675158	0.013270991919345042	0.01711783439490446	0.015438678165054592	0.026860299094187783
MMRN2	B Cells	2512	0.010350318471337579	0.00671620159424819	0.00875796178343949	0.011255915041736014	0.015534484249358733
PECAM1	B Cells	2512	0.21218152866242038	0.1101852870632928	0.11664012738853503	0.0767292082643847	0.13078981388619504
PF4	B Cells	2512	0.003980891719745223	0.002759343871655833	0.003980891719745223	0.11322264173238693	0.11558803457688809
PLAT	B Cells	2512	0.050955414012738856	0.03313871704422397	0.04378980891719745	0.01642575243076088	0.04580405429306854
PPBP	B Cells	2512	0.009156050955414012	0.0063464909048084155	0.009156050955414012	0.24150668178203252	0.2504688605803255
RAB27A	B Cells	2512	0.06648089171974522	0.043238711522036365	0.05692675159235669	0.2743950622328301	0.28002373881442694
SELP	B Cells	2512	0.007165605095541401	0.004852295850966255	0.006767515923566879	0.015482169094687755	0.02607822043111741
SERPINE1	B Cells	2512	0.007563694267515924	0.004852295850966255	0.006369426751592357	0.025894513300915883	0.030964855933318373
STXBP5	B Cells	2512	0.06289808917197452	0.03990180678960925	0.050955414012738856	0.1057869748786562	0.12452018391192475
THBD	B Cells	2512	0.016321656050955414	0.010464759896552113	0.013535031847133758	0.025324467758208572	0.03342672240827077
VWF	B Cells	2512	0.03423566878980892	0.01957104392197329	0.022292993630573247	0.011801983845524359	0.025386871394435982
ADAMTS13	Basal-like Structured DCIS Cells	8760	0.03458904109589041	0.023081108757870773	0.031621004566210045	0.31988759670364575	0.32169798860334353
ANGPT2	Basal-like Structured DCIS Cells	8760	0.019292237442922376	0.012319919653287147	0.015867579908675798	0.2611119755523545	0.28216083206494164
CDH5	Basal-like Structured DCIS Cells	8760	0.03881278538812785	0.024713016381850656	0.031735159817351595	0.03309514057203707	0.04749809411052415
CLEC14A	Basal-like Structured DCIS Cells	8760	0.034018264840182645	0.021773080922309517	0.02865296803652968	0.03418585822678132	0.048604090548196685
COL4A1	Basal-like Structured DCIS Cells	8760	0.34714611872146117	0.17871211488231956	0.19075342465753425	0.19750753138724406	0.2922987800722415
COL4A2	Basal-like Structured DCIS Cells	8760	0.4309360730593607	0.23676326583309595	0.2589041095890411	0.357046706165584	0.45688337243623706
CXCL8	Basal-like Structured DCIS Cells	8760	0.02363013698630137	0.015873110987839674	0.021917808219178082	0.32760682564355065	0.3372602739726028
EGFL7	Basal-like Structured DCIS Cells	8760	0.11621004566210046	0.07338412526063572	0.0930365296803653	0.07312524966581221	0.11941464979364047
EMCN	Basal-like Structured DCIS Cells	8760	0.030593607305936073	0.02030573577605147	0.027511415525114154	0.029013474741351505	0.04338241863020378
FLT1	Basal-like Structured DCIS Cells	8760	0.08184931506849315	0.05327752133298425	0.07077625570776255	0.07621484018642004	0.11473203556837297
GP1BA	Basal-like Structured DCIS Cells	8760	0.014269406392694063	0.009713151161196103	0.0136986301369863	0.38824299454697647	0.4212328767123287
HBB	Basal-like Structured DCIS Cells	8760	0.01598173515981735	0.009153445938401717	0.011529680365296804	0.13969184779716554	0.20845275360654011
IL6	Basal-like Structured DCIS Cells	8760	0.023515981735159817	0.015641809957341844	0.02134703196347032	0.12537061054829773	0.17449933995541994
ITGA2B	Basal-like Structured DCIS Cells	8760	0.01004566210045662	0.006798920265641127	0.009474885844748858	0.08605430248872997	0.09406116512004713
KDR	Basal-like Structured DCIS Cells	8760	0.08367579908675798	0.050134376117882073	0.060616438356164384	0.05832333427628066	0.09511575043369026
MMRN2	Basal-like Structured DCIS Cells	8760	0.06746575342465753	0.04209431765947789	0.05319634703196347	0.07054732599460771	0.094357321432261
PECAM1	Basal-like Structured DCIS Cells	8760	0.05011415525114155	0.031149300035686635	0.03949771689497717	0.02169129103738781	0.04428920953091706
PF4	Basal-like Structured DCIS Cells	8760	0.007534246575342466	0.005156660932882743	0.0073059360730593605	0.21159043616728368	0.21213307240704501
PLAT	Basal-like Structured DCIS Cells	8760	2.815068493150685	1.0014572784313092	0.7029680365296803	0.4963888403870303	0.7353031882916466
PPBP	Basal-like Structured DCIS Cells	8760	0.011986301369863013	0.008176909322943737	0.011529680365296804	0.3111606504187248	0.3154008117706748
RAB27A	Basal-like Structured DCIS Cells	8760	0.11552511415525114	0.07567827528149407	0.10068493150684932	0.48025818357135064	0.49527103117909066
SELP	Basal-like Structured DCIS Cells	8760	0.012671232876712329	0.008394893627154287	0.01141552511415525	0.026785498382510552	0.04398904762487707
SERPINE1	Basal-like Structured DCIS Cells	8760	0.03299086757990868	0.019810293295826144	0.024315068493150686	0.1057185956914939	0.1182072770851712
STXBP5	Basal-like Structured DCIS Cells	8760	0.17431506849315068	0.10949045835807289	0.13892694063926941	0.2902791953469693	0.33949696089993653
THBD	Basal-like Structured DCIS Cells	8760	0.04349315068493151	0.028262863037139888	0.03767123287671233	0.0683954501406701	0.09303456824993331
VWF	Basal-like Structured DCIS Cells	8760	0.059703196347031966	0.03572472270059318	0.04406392694063927	0.021543183995661234	0.05017922962314447
ADAMTS13	CAFs, DCIS Associated	24442	0.020211112020292937	0.013667945630288492	0.019024629735700842	0.1894279137720426	0.19354809260039452
ANGPT2	CAFs, DCIS Associated	24442	0.011905736028148269	0.00776184403822309	0.010310121921283038	0.16450678963713353	0.18333687914245972
