assigned_structure,cell_type,n_contours,total_count,mean_count_per_contour,median_count_per_contour,mean_fraction,median_fraction,sem_fraction,mean_total_cells_per_contour
S1,11q13 Invasive Tumor Cells,100,59812,598.12,52.5,0.7372875914407905,0.7884200296660018,0.027626820993605167,741.04
S1,11q13 Invasive Tumor Cells (G1/S),100,2052,20.52,1.0,0.02518529617846794,0.012776200166141654,0.0034242122337554155,741.04
S1,11q13 Invasive Tumor Cells (Mitotic),100,2036,20.36,2.0,0.039577660749263124,0.020483780760626395,0.007634039351233533,741.04
S1,Apocrine Cells,100,13,0.13,0.0,0.0006780542314998803,0.0,0.0004242135957409703,741.04
S1,B Cells,100,90,0.9,0.0,0.0006549757654305975,0.0,0.00021347058834737592,741.04
S1,Basal-like Structured DCIS Cells,100,4835,48.35,3.5,0.05266485905856184,0.0402633879446645,0.005884568700786682,741.04
S1,"CAFs, DCIS Associated",100,220,2.2,0.0,0.002805745558246184,0.0,0.0009120081664571023,741.04
S1,"CAFs, Invasive Associated",100,1115,11.15,1.0,0.08154202054515691,0.010707710180694704,0.028263344090738603,741.04
S1,CXCL14+ Fibroblasts,100,584,5.84,0.0,0.005692842126951685,0.000585480093676815,0.0011711056949651806,741.04
S1,Dendritic Cells,100,563,5.63,0.0,0.019404950766931817,0.0053864734299516916,0.013105713597756394,741.04
S1,Endothelial Cells,100,713,7.13,0.0,0.003822386355861836,0.0,0.0006217111686354383,741.04
S1,Luminal-like Amorphous DCIS Cells,100,0,0.0,0.0,0.0,0.0,0.0,741.04
S1,Macrophages,100,186,1.86,0.0,0.0010981730173872054,0.0,0.0002260428174388236,741.04
S1,Mast Cells,100,11,0.11,0.0,4.8491669826384585e-05,0.0,2.1993107879833523e-05,741.04
S1,Myeloid Cells,100,146,1.46,0.0,0.001612357113284619,0.0,0.000936742386858598,741.04
S1,Myoepithelial Cells,100,807,8.07,1.0,0.022385031985703567,0.007797708134437404,0.006961460416022512,741.04
S1,Pericytes,100,768,7.68,0.0,0.004538521727193776,0.0,0.0008668477503597433,741.04
S1,Plasma Cells,100,21,0.21,0.0,0.00021791292515208947,0.0,0.0001386813549791473,741.04
S1,T Lymphocytes,100,132,1.32,0.0,0.0007831287842900265,0.0,0.00017977944661853645,741.04
S1,Unassigned,100,0,0.0,0.0,0.0,0.0,0.0,741.04
S2,11q13 Invasive Tumor Cells,555,1710,3.081081081081081,0.0,0.09496794525809271,0.0,0.00951101110724132,28.875675675675677
S2,11q13 Invasive Tumor Cells (G1/S),555,76,0.13693693693693693,0.0,0.00637871783862441,0.0,0.0031339859195043864,28.875675675675677
S2,11q13 Invasive Tumor Cells (Mitotic),555,104,0.1873873873873874,0.0,0.009610477008780982,0.0,0.003400734392129647,28.875675675675677
S2,Apocrine Cells,555,55,0.0990990990990991,0.0,0.0013949648058547977,0.0,0.0012710964463074344,28.875675675675677
S2,B Cells,555,1191,2.145945945945946,0.0,0.0930850548243062,0.0,0.012094789518215777,28.875675675675677
S2,Basal-like Structured DCIS Cells,555,2098,3.78018018018018,0.0,0.165110733363356,0.0,0.0141850912810704,28.875675675675677
S2,"CAFs, DCIS Associated",555,878,1.581981981981982,0.0,0.054623582887277276,0.0,0.006190522934347224,28.875675675675677
S2,"CAFs, Invasive Associated",555,869,1.5657657657657658,0.0,0.04841487587439291,0.0,0.007373802257359087,28.875675675675677
S2,CXCL14+ Fibroblasts,555,227,0.409009009009009,0.0,0.014592941775796212,0.0,0.004702003424276928,28.875675675675677
S2,Dendritic Cells,555,1951,3.5153153153153154,0.0,0.13649365356177207,0.0,0.01383772068901624,28.875675675675677
S2,Endothelial Cells,555,526,0.9477477477477477,0.0,0.010604231108778976,0.0,0.0016483524589616981,28.875675675675677
S2,Luminal-like Amorphous DCIS Cells,555,16,0.02882882882882883,0.0,0.0008991335917114372,0.0,0.0006028708957762297,28.875675675675677
S2,Macrophages,555,503,0.9063063063063063,0.0,0.016830996221619193,0.0,0.0037901041885991514,28.875675675675677
S2,Mast Cells,555,50,0.09009009009009009,0.0,0.0011012374656548807,0.0,0.0003528027557529689,28.875675675675677
S2,Myeloid Cells,555,66,0.11891891891891893,0.0,0.0014616749856544069,0.0,0.0007902733266497503,28.875675675675677
S2,Myoepithelial Cells,555,458,0.8252252252252252,0.0,0.01876272567115958,0.0,0.0029301058651362588,28.875675675675677
S2,Pericytes,555,349,0.6288288288288288,0.0,0.013549200843770565,0.0,0.0038643220452437748,28.875675675675677
S2,Plasma Cells,555,135,0.24324324324324326,0.0,0.006311639771211008,0.0,0.0030908374095160967,28.875675675675677
S2,T Lymphocytes,555,4764,8.583783783783783,0.0,0.30580621314218637,0.14692307692307693,0.020481967777133514,28.875675675675677
S2,Unassigned,555,0,0.0,0.0,0.0,0.0,0.0,28.875675675675677
S3,11q13 Invasive Tumor Cells,562,4013,7.140569395017794,0.0,0.05510775860141751,0.0,0.0050086173264062735,68.11565836298932
S3,11q13 Invasive Tumor Cells (G1/S),562,276,0.49110320284697506,0.0,0.00608082404262676,0.0,0.0022228190743615516,68.11565836298932
S3,11q13 Invasive Tumor Cells (Mitotic),562,270,0.4804270462633452,0.0,0.005725489628997799,0.0,0.0021220359305615926,68.11565836298932
S3,Apocrine Cells,562,6,0.010676156583629894,0.0,0.0004478477572867185,0.0,0.00041202230825791177,68.11565836298932
S3,B Cells,562,767,1.3647686832740213,0.0,0.015352162752677142,0.0,0.0019065240685897514,68.11565836298932
S3,Basal-like Structured DCIS Cells,562,1193,2.122775800711744,0.0,0.018741602133558626,0.0,0.002002730103159946,68.11565836298932
S3,"CAFs, DCIS Associated",562,6742,11.99644128113879,1.0,0.16300951164078376,0.14285714285714285,0.0076573005172729525,68.11565836298932
S3,"CAFs, Invasive Associated",562,1995,3.5498220640569396,0.0,0.03676928832627263,0.0,0.003319145799604451,68.11565836298932
S3,CXCL14+ Fibroblasts,562,2954,5.2562277580071175,1.0,0.11977293536317503,0.058823529411764705,0.009202798770899965,68.11565836298932
S3,Dendritic Cells,562,1083,1.9270462633451957,0.0,0.028599733164416018,0.0,0.0042151527818537985,68.11565836298932
S3,Endothelial Cells,562,6173,10.983985765124554,2.0,0.15592096113586618,0.1402802623732856,0.007522010677462339,68.11565836298932
S3,Luminal-like Amorphous DCIS Cells,562,493,0.8772241992882562,0.0,0.024539189825199124,0.0,0.004385395931247294,68.11565836298932
S3,Macrophages,562,2513,4.47153024911032,1.0,0.11965007876951189,0.047619047619047616,0.00997729121228471,68.11565836298932
S3,Mast Cells,562,198,0.35231316725978645,0.0,0.011081144485825865,0.0,0.0032811029480370887,68.11565836298932
S3,Myeloid Cells,562,593,1.0551601423487544,0.0,0.027145900439729344,0.0,0.005315964643010903,68.11565836298932
S3,Myoepithelial Cells,562,757,1.3469750889679715,0.0,0.022329015980367697,0.0,0.002700053846467735,68.11565836298932
S3,Pericytes,562,5956,10.597864768683275,2.0,0.14361128106202325,0.12782805429864252,0.007112440426526937,68.11565836298932
S3,Plasma Cells,562,223,0.39679715302491103,0.0,0.0042188987531279355,0.0,0.0006345539767907664,68.11565836298932
S3,T Lymphocytes,562,2072,3.6868327402135233,0.0,0.04188546987881252,0.0,0.004002090552405559,68.11565836298932
S3,Unassigned,562,4,0.0071174377224199285,0.0,1.0906258324225692e-05,0.0,8.606941340172044e-06,68.11565836298932
S4,11q13 Invasive Tumor Cells,330,139,0.4212121212121212,0.0,0.034200988442476356,0.0,0.009717617984269853,125.03636363636363
S4,11q13 Invasive Tumor Cells (G1/S),330,5,0.015151515151515152,0.0,0.0012604156352588138,0.0,0.0007356676569671364,125.03636363636363
S4,11q13 Invasive Tumor Cells (Mitotic),330,63,0.19090909090909092,0.0,0.009671390139768022,0.0,0.00532714835801474,125.03636363636363
S4,Apocrine Cells,330,381,1.1545454545454545,0.0,0.000458175190995404,0.0,0.0004136669315659446,125.03636363636363
S4,B Cells,330,530,1.606060606060606,0.0,0.014650502015040999,0.0,0.0033438431078523603,125.03636363636363
S4,Basal-like Structured DCIS Cells,330,1498,4.539393939393939,0.0,0.01419319467508774,0.0,0.0037922388104008947,125.03636363636363
S4,"CAFs, DCIS Associated",330,17627,53.415151515151514,0.0,0.6230552019307445,0.764102564102564,0.027162186711396374,125.03636363636363
S4,"CAFs, Invasive Associated",330,90,0.2727272727272727,0.0,0.03845669990930821,0.0,0.009566949296884253,125.03636363636363
S4,CXCL14+ Fibroblasts,330,1503,4.554545454545455,0.0,0.016067856343946297,0.0,0.005255371512983696,125.03636363636363
S4,Dendritic Cells,330,468,1.4181818181818182,0.0,0.01327108712999317,0.0,0.003037132352797769,125.03636363636363
S4,Endothelial Cells,330,1905,5.7727272727272725,0.0,0.011147970430393443,0.0,0.002638346034126388,125.03636363636363
S4,Luminal-like Amorphous DCIS Cells,330,6082,18.43030303030303,0.0,0.01710073073487836,0.0,0.006495776656586883,125.03636363636363
S4,Macrophages,330,946,2.8666666666666667,0.0,0.011780049556769374,0.0,0.0023703308859680805,125.03636363636363
S4,Mast Cells,330,135,0.4090909090909091,0.0,0.0012762223587486896,0.0,0.0005519211580160659,125.03636363636363
S4,Myeloid Cells,330,98,0.296969696969697,0.0,0.0035862065797902256,0.0,0.0017276001570215539,125.03636363636363
S4,Myoepithelial Cells,330,6383,19.342424242424244,0.0,0.13444226100331713,0.0,0.018640329589600112,125.03636363636363
S4,Pericytes,330,1688,5.115151515151515,0.0,0.008123250664564196,0.0,0.002303385424000876,125.03636363636363
S4,Plasma Cells,330,510,1.5454545454545454,0.0,0.011404802265630995,0.0,0.003668846127720519,125.03636363636363
S4,T Lymphocytes,330,1208,3.6606060606060606,0.0,0.03584737968671101,0.0,0.006549688553280389,125.03636363636363
S4,Unassigned,330,3,0.00909090909090909,0.0,5.615306577021417e-06,0.0,5.615306577021418e-06,125.03636363636363
S5,11q13 Invasive Tumor Cells,31,16,0.5161290322580645,0.0,0.006145292192446329,0.0,0.005286633790061301,286.7096774193548
S5,11q13 Invasive Tumor Cells (G1/S),31,1,0.03225806451612903,0.0,7.586102260658475e-05,0.0,7.586102260658476e-05,286.7096774193548
S5,11q13 Invasive Tumor Cells (Mitotic),31,28,0.9032258064516129,0.0,0.0029872716222766227,0.0,0.0009631518001371245,286.7096774193548
S5,Apocrine Cells,31,20,0.6451612903225806,0.0,0.02413996720969152,0.0,0.02386277203979492,286.7096774193548
S5,B Cells,31,9,0.2903225806451613,0.0,0.0008516122252698575,0.0,0.00042016917364023774,286.7096774193548
S5,Basal-like Structured DCIS Cells,31,51,1.6451612903225807,0.0,0.013348297155907175,0.0,0.006930678617367939,286.7096774193548
S5,"CAFs, DCIS Associated",31,143,4.612903225806452,0.0,0.01025884154487899,0.0009861932938856016,0.0024822280407175677,286.7096774193548
S5,"CAFs, Invasive Associated",31,16,0.5161290322580645,0.0,0.0005449648682535209,0.0,0.00025305281761640343,286.7096774193548
S5,CXCL14+ Fibroblasts,31,85,2.7419354838709675,0.0,0.004547159380153441,0.0,0.0013085887146671328,286.7096774193548
S5,Dendritic Cells,31,56,1.8064516129032258,0.0,0.010402233421219346,0.0,0.003983368905835519,286.7096774193548
S5,Endothelial Cells,31,67,2.161290322580645,0.0,0.00617363739703606,0.0,0.0022220262969361586,286.7096774193548
S5,Luminal-like Amorphous DCIS Cells,31,7960,256.7741935483871,87.0,0.86364841726621,0.9040912933220625,0.03618684267804743,286.7096774193548
S5,Macrophages,31,10,0.3225806451612903,0.0,0.00027863255932682673,0.0,0.00013477863838188506,286.7096774193548
S5,Mast Cells,31,3,0.0967741935483871,0.0,8.273460127361622e-05,0.0,6.075951237619753e-05,286.7096774193548
S5,Myeloid Cells,31,3,0.0967741935483871,0.0,0.00030073348702041675,0.0,0.00023578149063860351,286.7096774193548
S5,Myoepithelial Cells,31,322,10.387096774193548,6.0,0.049051817282194723,0.04365904365904366,0.008308164523885369,286.7096774193548
S5,Pericytes,31,63,2.032258064516129,0.0,0.004209248211766554,0.0,0.0012538291004230697,286.7096774193548
S5,Plasma Cells,31,17,0.5483870967741935,0.0,0.0021670679448517406,0.0,0.000729688721268483,286.7096774193548
S5,T Lymphocytes,31,18,0.5806451612903226,0.0,0.0007862106076166354,0.0,0.0003395210449595242,286.7096774193548
S5,Unassigned,31,0,0.0,0.0,0.0,0.0,0.0,286.7096774193548
