cell_type,metric,comparison,n_groups,n_tested_groups,top_group,bottom_group,max_mean,min_mean,statistic,p_value,fdr,status,test_scope,case,reference,n_case_contours,n_reference_contours,mean_case,mean_reference,delta_mean
Dendritic Cells,fraction,pairwise,,,,,,,48144.0,1.6143565482978215e-14,9.358588685784473e-14,ok,pairwise,S2,S4,334.0,217.0,0.13649365356177207,0.01327108712999317,0.1232225664317789
11q13 Invasive Tumor Cells,n_cells,pairwise,,,,,,,112465.0,5.079795954289997e-14,2.9027405453085697e-13,ok,pairwise,S3,S4,562.0,330.0,7.140569395017794,0.4212121212121212,6.719357273805673
Basal-like Structured DCIS Cells,fraction,pairwise,,,,,,,102257.5,6.09867043172832e-14,3.435870665762434e-13,ok,pairwise,S2,S3,334.0,486.0,0.165110733363356,0.018741602133558626,0.14636913122979736
Dendritic Cells,n_cells,pairwise,,,,,,,21956.5,1.9898015470611415e-13,1.1054453039228564e-12,ok,pairwise,S1,S4,100.0,330.0,5.63,1.4181818181818182,4.211818181818182
Basal-like Structured DCIS Cells,n_cells,pairwise,,,,,,,110129.0,2.1345685160882328e-13,1.1696265841579359e-12,ok,pairwise,S2,S4,555.0,330.0,3.78018018018018,4.539393939393939,-0.7592137592137589
Macrophages,fraction,pairwise,,,,,,,9282.0,4.581281788868265e-13,2.4763685345233868e-12,ok,pairwise,S1,S3,76.0,486.0,0.0010981730173872054,0.1196500787695119,-0.1185519057521247
Pericytes,n_cells,pairwise,,,,,,,35123.5,7.081272653572034e-13,3.776678748571752e-12,ok,pairwise,S1,S2,100.0,555.0,7.68,0.6288288288288288,7.051171171171171
Myoepithelial Cells,n_cells,pairwise,,,,,,,22499.0,7.775601846732159e-13,4.0924220245958726e-12,ok,pairwise,S1,S4,100.0,330.0,8.07,19.342424242424244,-11.272424242424243
Myoepithelial Cells,n_cells,pairwise,,,,,,,2255.0,1.4130165263171783e-12,7.340345591258069e-12,ok,pairwise,S4,S5,330.0,31.0,19.342424242424244,10.387096774193548,8.955327468230696
Luminal-like Amorphous DCIS Cells,n_cells,pairwise,,,,,,,140942.0,2.2420482414711826e-12,1.1497683289595809e-11,ok,pairwise,S2,S3,555.0,562.0,0.02882882882882883,0.8772241992882562,-0.8483953704594274
11q13 Invasive Tumor Cells,fraction,pairwise,,,,,,,1877.0,6.272127381504845e-12,3.175760699496124e-11,ok,pairwise,S1,S5,76.0,26.0,0.7372875914407905,0.006145292192446329,0.7311422992483442
Myoepithelial Cells,fraction,pairwise,,,,,,,17791.5,8.938113493257867e-12,4.448932169862033e-11,ok,pairwise,S1,S2,76.0,334.0,0.022385031985703564,0.01876272567115958,0.0036223063145439834
"CAFs, Invasive Associated",n_cells,pairwise,,,,,,,111156.0,9.009087643970617e-12,4.448932169862033e-11,ok,pairwise,S3,S4,562.0,330.0,3.5498220640569396,0.2727272727272727,3.2770947913296666
Pericytes,n_cells,pairwise,,,,,,,21026.0,1.3765636056373728e-11,6.714944417743281e-11,ok,pairwise,S1,S4,100.0,330.0,7.68,5.115151515151515,2.5648484848484845
Myeloid Cells,n_cells,pairwise,,,,,,,108623.0,1.771226395986006e-11,8.536030824028944e-11,ok,pairwise,S3,S4,562.0,330.0,1.0551601423487544,0.296969696969697,0.7581904453790574
Dendritic Cells,n_cells,pairwise,,,,,,,111113.5,3.1774725338541105e-11,1.5130821589781478e-10,ok,pairwise,S3,S4,562.0,330.0,1.9270462633451957,1.4181818181818182,0.5088644451633775
11q13 Invasive Tumor Cells,fraction,pairwise,,,,,,,45708.5,3.707259467836976e-11,1.726219263535685e-10,ok,pairwise,S2,S4,334.0,217.0,0.09496794525809271,0.034200988442476356,0.060766956815616356
Endothelial Cells,n_cells,pairwise,,,,,,,34645.0,3.711371416601723e-11,1.726219263535685e-10,ok,pairwise,S1,S2,100.0,555.0,7.13,0.9477477477477477,6.182252252252252
CXCL14+ Fibroblasts,n_cells,pairwise,,,,,,,21234.0,4.8075687797457566e-11,2.2103764504578189e-10,ok,pairwise,S1,S4,100.0,330.0,5.84,4.554545454545455,1.2854545454545452
Myoepithelial Cells,fraction,pairwise,,,,,,,1811.0,5.195440504275044e-11,2.3615638655795655e-10,ok,pairwise,S2,S5,334.0,26.0,0.01876272567115958,0.04905181728219472,-0.030289091611035136
11q13 Invasive Tumor Cells (Mitotic),fraction,pairwise,,,,,,,1691.5,5.2607382613005445e-11,2.36437674665193e-10,ok,pairwise,S4,S5,217.0,26.0,0.00967139013976802,0.0029872716222766227,0.006684118517491398
CXCL14+ Fibroblasts,fraction,pairwise,,,,,,,10149.5,8.123083803399497e-11,3.610259468177554e-10,ok,pairwise,S1,S3,76.0,486.0,0.005692842126951685,0.11977293536317503,-0.11408009323622334
11q13 Invasive Tumor Cells (Mitotic),n_cells,pairwise,,,,,,,5829.5,9.095016609579783e-11,3.9978094987163877e-10,ok,pairwise,S2,S5,555.0,31.0,0.1873873873873874,0.9032258064516129,-0.7158384190642255
Basal-like Structured DCIS Cells,n_cells,pairwise,,,,,,,108437.5,1.3493918002714093e-10,5.866920870745257e-10,ok,pairwise,S3,S4,562.0,330.0,2.122775800711744,4.539393939393939,-2.416618138682195
Mast Cells,n_cells,pairwise,,,,,,,138008.5,1.4011286740842322e-10,5.965232643947205e-10,ok,pairwise,S2,S3,555.0,562.0,0.09009009009009009,0.35231316725978645,-0.2622230771696964
T Lymphocytes,fraction,pairwise,,,,,,,7067.0,1.4018296713275932e-10,5.965232643947205e-10,ok,pairwise,S1,S2,76.0,334.0,0.0007831287842900265,0.30580621314218637,-0.3050230843578963
Myeloid Cells,n_cells,pairwise,,,,,,,31982.5,2.608654555177852e-10,1.098380865338043e-09,ok,pairwise,S1,S2,100.0,555.0,1.46,0.11891891891891893,1.341081081081081
Myoepithelial Cells,n_cells,pairwise,,,,,,,4150.0,4.55121421111742e-10,1.8963392546322584e-09,ok,pairwise,S3,S5,562.0,31.0,1.3469750889679715,10.387096774193548,-9.040121685225577
Myoepithelial Cells,n_cells,pairwise,,,,,,,36818.0,7.970169866461955e-10,3.2866679861698784e-09,ok,pairwise,S1,S3,100.0,562.0,8.07,1.3469750889679715,6.723024911032029
T Lymphocytes,n_cells,pairwise,,,,,,,111533.0,8.372951772456687e-10,3.4175313356966074e-09,ok,pairwise,S3,S4,562.0,330.0,3.6868327402135233,3.6606060606060606,0.02622667960746261
Apocrine Cells,fraction,pairwise,,,,,,,20695.0,1.3796907588310967e-09,5.5745081164892795e-09,ok,pairwise,S1,S3,76.0,486.0,0.0006780542314998804,0.00044784775728671844,0.000230206474213162
Endothelial Cells,n_cells,pairwise,,,,,,,20628.5,1.8695215666652926e-09,7.47808626666117e-09,ok,pairwise,S1,S4,100.0,330.0,7.13,5.7727272727272725,1.3572727272727274
"CAFs, DCIS Associated",n_cells,pairwise,,,,,,,18113.5,2.107542369119995e-09,8.346702451960377e-09,ok,pairwise,S1,S3,100.0,562.0,2.2,11.99644128113879,-9.79644128113879
Dendritic Cells,fraction,pairwise,,,,,,,98363.5,5.085279831193544e-09,1.994227384781782e-08,ok,pairwise,S2,S3,334.0,486.0,0.13649365356177207,0.028599733164416018,0.10789392039735604
11q13 Invasive Tumor Cells,n_cells,pairwise,,,,,,,105549.0,6.051936698517742e-09,2.350266679036016e-08,ok,pairwise,S2,S4,555.0,330.0,3.081081081081081,0.4212121212121212,2.6598689598689598
Mast Cells,n_cells,pairwise,,,,,,,104389.0,7.303744144253916e-09,2.8091323631745832e-08,ok,pairwise,S3,S4,562.0,330.0,0.35231316725978645,0.4090909090909091,-0.05677774183112266
Luminal-like Amorphous DCIS Cells,fraction,pairwise,,,,,,,72395.0,9.528843183974079e-09,3.6300354986567915e-08,ok,pairwise,S2,S3,334.0,486.0,0.0008991335917114372,0.024539189825199124,-0.023640056233487687
Myoepithelial Cells,n_cells,pairwise,,,,,,,134992.0,1.1485067285183941e-08,4.3339876547863924e-08,ok,pairwise,S2,S3,555.0,562.0,0.8252252252252252,1.3469750889679715,-0.5217498637427462
Apocrine Cells,n_cells,pairwise,,,,,,,30662.5,1.6950574131192695e-08,6.336663226614092e-08,ok,pairwise,S1,S3,100.0,562.0,0.13,0.010676156583629894,0.11932384341637012
11q13 Invasive Tumor Cells,fraction,pairwise,,,,,,,63538.5,1.7899382231927494e-08,6.629400826639812e-08,ok,pairwise,S3,S4,486.0,217.0,0.05510775860141752,0.034200988442476356,0.020906770158941164
Dendritic Cells,n_cells,pairwise,,,,,,,106405.0,2.00329699153245e-08,7.351548592779634e-08,ok,pairwise,S2,S4,555.0,330.0,3.5153153153153154,1.4181818181818182,2.0971334971334974
Apocrine Cells,n_cells,pairwise,,,,,,,30271.0,2.3415549415459696e-08,8.514745241985344e-08,ok,pairwise,S1,S2,100.0,555.0,0.13,0.0990990990990991,0.030900900900900904
Myeloid Cells,fraction,pairwise,,,,,,,62417.0,2.818276617830858e-08,1.0155951775967056e-07,ok,pairwise,S3,S4,486.0,217.0,0.02714590043972934,0.003586206579790226,0.023559693859939113
Myoepithelial Cells,fraction,pairwise,,,,,,,2955.0,3.319970784748787e-08,1.1857038516959954e-07,ok,pairwise,S3,S5,486.0,26.0,0.022329015980367697,0.04905181728219472,-0.02672280130182702
11q13 Invasive Tumor Cells (G1/S),n_cells,pairwise,,,,,,,102061.0,3.876236496376098e-08,1.3721191137614506e-07,ok,pairwise,S3,S4,562.0,330.0,0.49110320284697506,0.015151515151515152,0.4759516876954599
"CAFs, Invasive Associated",n_cells,pairwise,,,,,,,134433.0,4.8417949102861985e-08,1.6988754071179643e-07,ok,pairwise,S2,S3,555.0,562.0,1.5657657657657658,3.5498220640569396,-1.9840562982911738
"CAFs, DCIS Associated",fraction,pairwise,,,,,,,4607.5,6.700715911848349e-08,2.3306837954255126e-07,ok,pairwise,S4,S5,217.0,26.0,0.6230552019307445,0.01025884154487899,0.6127963603858655
B Cells,n_cells,pairwise,,,,,,,107297.5,7.940964687111979e-08,2.7382636852110273e-07,ok,pairwise,S3,S4,562.0,330.0,1.3647686832740213,1.606060606060606,-0.24129192278658462
11q13 Invasive Tumor Cells,n_cells,pairwise,,,,,,,2503.0,8.833417854935218e-08,3.0199719162171684e-07,ok,pairwise,S1,S5,100.0,31.0,598.12,0.5161290322580645,597.603870967742
CXCL14+ Fibroblasts,fraction,pairwise,,,,,,,16314.5,9.25157705197909e-08,3.1361278142302e-07,ok,pairwise,S1,S2,76.0,334.0,0.005692842126951685,0.014592941775796212,-0.008900099648844527
11q13 Invasive Tumor Cells (G1/S),fraction,pairwise,,,,,,,1638.5,1.074103739609682e-07,3.610432738183805e-07,ok,pairwise,S1,S5,76.0,26.0,0.02518529617846794,7.586102260658475e-05,0.025109435155861358
Myeloid Cells,fraction,pairwise,,,,,,,15014.0,1.9293947902769477e-07,6.431315967589826e-07,ok,pairwise,S1,S2,76.0,334.0,0.001612357113284619,0.0014616749856544069,0.00015068212763021203
"CAFs, Invasive Associated",n_cells,pairwise,,,,,,,35657.0,2.611605123078352e-07,8.633405365548273e-07,ok,pairwise,S1,S3,100.0,562.0,11.15,3.5498220640569396,7.60017793594306
Endothelial Cells,fraction,pairwise,,,,,,,10047.0,2.69551587503282e-07,8.837756967320721e-07,ok,pairwise,S3,S5,486.0,26.0,0.1559209611358662,0.00617363739703606,0.14974732373883015
Pericytes,fraction,pairwise,,,,,,,10027.5,3.061593857658343e-07,9.956402789132822e-07,ok,pairwise,S3,S5,486.0,26.0,0.14361128106202325,0.004209248211766553,0.1394020328502567
CXCL14+ Fibroblasts,n_cells,pairwise,,,,,,,6048.5,3.2607138317492744e-07,1.051843171532024e-06,ok,pairwise,S2,S5,555.0,31.0,0.409009009009009,2.7419354838709675,-2.3329264748619587
Plasma Cells,n_cells,pairwise,,,,,,,6418.0,3.294093861986803e-07,1.0541100358357768e-06,ok,pairwise,S2,S5,555.0,31.0,0.24324324324324326,0.5483870967741935,-0.30514385353095025
"CAFs, Invasive Associated",fraction,pairwise,,,,,,,16717.0,3.6915466258471914e-07,1.1719195637610132e-06,ok,pairwise,S1,S2,76.0,334.0,0.08154202054515691,0.04841487587439291,0.033127144670764004
11q13 Invasive Tumor Cells (Mitotic),fraction,pairwise,,,,,,,1641.0,3.871430747301438e-07,1.2193482668665948e-06,ok,pairwise,S1,S5,76.0,26.0,0.039577660749263124,0.0029872716222766227,0.0365903891269865
Pericytes,fraction,pairwise,,,,,,,10552.0,4.4711478048909764e-07,1.39723368902843e-06,ok,pairwise,S1,S4,76.0,217.0,0.004538521727193776,0.008123250664564196,-0.0035847289373704197
Macrophages,fraction,pairwise,,,,,,,9906.0,4.572218028888019e-07,1.417742024461401e-06,ok,pairwise,S3,S5,486.0,26.0,0.1196500787695119,0.00027863255932682673,0.11937144621018508
Dendritic Cells,fraction,pairwise,,,,,,,10759.0,5.304078925035178e-07,1.6320242846262085e-06,ok,pairwise,S1,S4,76.0,217.0,0.019404950766931814,0.01327108712999317,0.006133863636938644
"CAFs, Invasive Associated",fraction,pairwise,,,,,,,1602.5,8.820909051149963e-07,2.693407343862584e-06,ok,pairwise,S1,S5,76.0,26.0,0.08154202054515691,0.0005449648682535209,0.08099705567690339
Apocrine Cells,fraction,pairwise,,,,,,,14158.0,1.349700660570459e-06,4.066374957604433e-06,ok,pairwise,S1,S2,76.0,334.0,0.0006780542314998804,0.0013949648058547977,-0.0007169105743549172
Myoepithelial Cells,fraction,pairwise,,,,,,,23871.5,1.352069673403474e-06,4.066374957604433e-06,ok,pairwise,S1,S3,76.0,486.0,0.022385031985703564,0.022329015980367697,5.6016005335866176e-05
Mast Cells,fraction,pairwise,,,,,,,59868.5,1.8901174853963374e-06,5.642141747451754e-06,ok,pairwise,S3,S4,486.0,217.0,0.011081144485825865,0.0012762223587486896,0.009804922127077176
Mast Cells,fraction,pairwise,,,,,,,71743.5,2.008710355300158e-06,5.9517343860745416e-06,ok,pairwise,S2,S3,334.0,486.0,0.0011012374656548807,0.011081144485825865,-0.009979907020170984
11q13 Invasive Tumor Cells (Mitotic),fraction,pairwise,,,,,,,2935.0,2.093274023362231e-06,6.156688304006562e-06,ok,pairwise,S2,S5,334.0,26.0,0.009610477008780982,0.0029872716222766227,0.00662320538650436
Dendritic Cells,fraction,pairwise,,,,,,,62256.5,2.4041837616607967e-06,7.019514632586268e-06,ok,pairwise,S3,S4,486.0,217.0,0.028599733164416018,0.01327108712999317,0.015328646034422848
B Cells,fraction,pairwise,,,,,,,43095.5,2.549482031925409e-06,7.389802991088142e-06,ok,pairwise,S2,S4,334.0,217.0,0.0930850548243062,0.014650502015040999,0.0784345528092652
Pericytes,n_cells,pairwise,,,,,,,3711.5,2.7534930322527145e-06,7.923720956122918e-06,ok,pairwise,S4,S5,330.0,31.0,5.115151515151515,2.032258064516129,3.0828934506353862
Endothelial Cells,n_cells,pairwise,,,,,,,20191.5,2.9445128000086992e-06,8.41289371431057e-06,ok,pairwise,S1,S3,100.0,562.0,7.13,10.983985765124554,-3.8539857651245546
11q13 Invasive Tumor Cells (G1/S),n_cells,pairwise,,,,,,,2311.0,3.1184633758663793e-06,8.846704612386891e-06,ok,pairwise,S1,S5,100.0,31.0,20.52,0.03225806451612903,20.48774193548387
Macrophages,n_cells,pairwise,,,,,,,20451.0,3.1995987698863775e-06,9.012954281370078e-06,ok,pairwise,S1,S3,100.0,562.0,1.86,4.47153024911032,-2.61153024911032
Pericytes,fraction,pairwise,,,,,,,15789.0,3.3939328043293575e-06,9.493518333788414e-06,ok,pairwise,S1,S2,76.0,334.0,0.004538521727193776,0.013549200843770563,-0.009010679116576787
Pericytes,n_cells,pairwise,,,,,,,6332.0,4.167462439131482e-06,1.1576284553143004e-05,ok,pairwise,S2,S5,555.0,31.0,0.6288288288288288,2.032258064516129,-1.4034292356873002
Apocrine Cells,n_cells,pairwise,,,,,,,17985.0,4.283774788395122e-06,1.1817309761089992e-05,ok,pairwise,S1,S4,100.0,330.0,0.13,1.1545454545454545,-1.0245454545454544
11q13 Invasive Tumor Cells (G1/S),fraction,pairwise,,,,,,,58541.5,4.5407512589551455e-06,1.244041440809629e-05,ok,pairwise,S3,S4,486.0,217.0,0.00608082404262676,0.0012604156352588138,0.004820408407367947
T Lymphocytes,n_cells,pairwise,,,,,,,104943.5,5.227840864627607e-06,1.4225417318714575e-05,ok,pairwise,S2,S4,555.0,330.0,8.583783783783783,3.6606060606060606,4.923177723177723
T Lymphocytes,fraction,pairwise,,,,,,,13134.0,6.909548256336884e-06,1.8674454746856444e-05,ok,pairwise,S1,S3,76.0,486.0,0.0007831287842900265,0.04188546987881252,-0.04110234109452249
Basal-like Structured DCIS Cells,fraction,pairwise,,,,,,,1562.5,7.566530798041774e-06,2.0312834357159126e-05,ok,pairwise,S1,S5,76.0,26.0,0.05266485905856183,0.013348297155907175,0.03931656190265466
Basal-like Structured DCIS Cells,fraction,pairwise,,,,,,,60773.5,7.91344015913414e-06,2.1102507091024375e-05,ok,pairwise,S3,S4,486.0,217.0,0.018741602133558626,0.01419319467508774,0.004548407458470885
Pericytes,n_cells,pairwise,,,,,,,20703.0,1.218290984249971e-05,3.2272608854303866e-05,ok,pairwise,S1,S3,100.0,562.0,7.68,10.597864768683275,-2.917864768683275
CXCL14+ Fibroblasts,fraction,pairwise,,,,,,,10372.5,1.2933824321066689e-05,3.403637979228076e-05,ok,pairwise,S1,S4,76.0,217.0,0.005692842126951685,0.016067856343946297,-0.010375014216994612
"CAFs, Invasive Associated",fraction,pairwise,,,,,,,61331.0,1.3119214754435395e-05,3.4298600665190576e-05,ok,pairwise,S3,S4,486.0,217.0,0.03676928832627263,0.03845669990930821,-0.001687411583035578
Endothelial Cells,n_cells,pairwise,,,,,,,6395.0,1.3303427944235151e-05,3.455435829671467e-05,ok,pairwise,S2,S5,555.0,31.0,0.9477477477477477,2.161290322580645,-1.2135425748328972
T Lymphocytes,fraction,pairwise,,,,,,,6447.0,1.4045637973845625e-05,3.624680767444033e-05,ok,pairwise,S2,S5,334.0,26.0,0.30580621314218637,0.0007862106076166354,0.30502000253456973
11q13 Invasive Tumor Cells (Mitotic),n_cells,pairwise,,,,,,,100563.5,1.4945469587159798e-05,3.8171812125551606e-05,ok,pairwise,S3,S4,562.0,330.0,0.4804270462633452,0.19090909090909092,0.2895179553542543
CXCL14+ Fibroblasts,n_cells,pairwise,,,,,,,3683.5,1.4982436259279005e-05,3.8171812125551606e-05,ok,pairwise,S4,S5,330.0,31.0,4.554545454545455,2.7419354838709675,1.8126099706744871
"CAFs, DCIS Associated",n_cells,pairwise,,,,,,,12230.5,1.524442986234679e-05,3.859349332239694e-05,ok,pairwise,S1,S4,100.0,330.0,2.2,53.415151515151514,-51.21515151515151
Dendritic Cells,n_cells,pairwise,,,,,,,3666.5,1.6541809823533444e-05,4.161461590826024e-05,ok,pairwise,S4,S5,330.0,31.0,1.4181818181818182,1.8064516129032258,-0.38826979472140755
Basal-like Structured DCIS Cells,n_cells,pairwise,,,,,,,3939.0,1.763623433416396e-05,4.409058583540989e-05,ok,pairwise,S4,S5,330.0,31.0,4.539393939393939,1.6451612903225807,2.894232649071358
"CAFs, DCIS Associated",fraction,pairwise,,,,,,,9406.5,1.8367900360129895e-05,4.5634535056223344e-05,ok,pairwise,S3,S5,486.0,26.0,0.16300951164078376,0.01025884154487899,0.15275067009590476
Macrophages,n_cells,pairwise,,,,,,,12415.0,2.1936325217335102e-05,5.4163765968728646e-05,ok,pairwise,S3,S5,562.0,31.0,4.47153024911032,0.3225806451612903,4.14894960394903
Apocrine Cells,fraction,pairwise,,,,,,,9208.0,2.2381816739717813e-05,5.492470365574923e-05,ok,pairwise,S1,S4,76.0,217.0,0.0006780542314998804,0.000458175190995404,0.00021987904050447643
Plasma Cells,n_cells,pairwise,,,,,,,143905.5,2.4112418296556744e-05,5.8810776333065224e-05,ok,pairwise,S2,S3,555.0,562.0,0.24324324324324326,0.39679715302491103,-0.15355390978166777
Apocrine Cells,fraction,pairwise,,,,,,,5652.5,2.5321753212176702e-05,6.138606839315564e-05,ok,pairwise,S3,S5,486.0,26.0,0.00044784775728671844,0.02413996720969152,-0.023692119452404802
Endothelial Cells,n_cells,pairwise,,,,,,,3786.5,2.575441664185354e-05,6.205883528157479e-05,ok,pairwise,S4,S5,330.0,31.0,5.7727272727272725,2.161290322580645,3.6114369501466275
11q13 Invasive Tumor Cells (Mitotic),n_cells,pairwise,,,,,,,6418.5,2.622032942988771e-05,6.28031842632041e-05,ok,pairwise,S3,S5,562.0,31.0,0.4804270462633452,0.9032258064516129,-0.4227987601882677
Myeloid Cells,n_cells,pairwise,,,,,,,18665.0,2.7480357368093035e-05,6.542942230498342e-05,ok,pairwise,S1,S4,100.0,330.0,1.46,0.296969696969697,1.163030303030303
CXCL14+ Fibroblasts,fraction,pairwise,,,,,,,9291.5,3.311026401144208e-05,7.83674887844783e-05,ok,pairwise,S3,S5,486.0,26.0,0.11977293536317503,0.004547159380153441,0.11522577598302158
Apocrine Cells,n_cells,pairwise,,,,,,,7944.0,3.616639687516587e-05,8.509740441215498e-05,ok,pairwise,S3,S5,562.0,31.0,0.010676156583629894,0.6451612903225806,-0.6344851337389508
Apocrine Cells,n_cells,pairwise,,,,,,,7848.0,4.3296166521382275e-05,0.00010127758250615738,ok,pairwise,S2,S5,555.0,31.0,0.0990990990990991,0.6451612903225806,-0.5460621912234815
Endothelial Cells,fraction,pairwise,,,,,,,10136.0,5.3223804117356856e-05,0.00012377628864501593,ok,pairwise,S1,S4,76.0,217.0,0.003822386355861836,0.011147970430393443,-0.007325584074531607
Endothelial Cells,fraction,pairwise,,,,,,,15325.0,9.691276529294614e-05,0.00022407575790276562,ok,pairwise,S1,S2,76.0,334.0,0.003822386355861836,0.010604231108778976,-0.00678184475291714
Plasma Cells,n_cells,pairwise,,,,,,,3943.5,0.00010849874442645774,0.0002494224009803626,ok,pairwise,S4,S5,330.0,31.0,1.5454545454545454,0.5483870967741935,0.9970674486803519
