cell_type,metric,comparison,n_groups,n_tested_groups,top_group,bottom_group,max_mean,min_mean,statistic,p_value,fdr,status,test_scope,case,reference,n_case_contours,n_reference_contours,mean_case,mean_reference,delta_mean
Macrophages,fraction,pairwise,,,,,,,13688.0,0.14378678487846808,0.20251659842037756,ok,pairwise,S1,S2,76.0,334.0,0.0010981730173872054,0.016830996221619193,-0.015732823204231985
Dendritic Cells,n_cells,pairwise,,,,,,,7548.0,0.1459098194107699,0.2047857114537121,ok,pairwise,S2,S5,555.0,31.0,3.5153153153153154,1.8064516129032258,1.7088637024120896
Macrophages,fraction,pairwise,,,,,,,8925.0,0.149015028799334,0.20841262769137625,ok,pairwise,S1,S4,76.0,217.0,0.0010981730173872054,0.011780049556769374,-0.010681876539382169
11q13 Invasive Tumor Cells (G1/S),fraction,pairwise,,,,,,,6925.5,0.15057672400841046,0.20965007807114713,ok,pairwise,S3,S5,486.0,26.0,0.00608082404262676,7.586102260658475e-05,0.006004963020020175
Unassigned,fraction,pairwise,,,,,,,80661.0,0.15094805621122595,0.20965007807114713,ok,pairwise,S2,S3,334.0,486.0,0.0,1.0906258324225692e-05,-1.0906258324225692e-05
11q13 Invasive Tumor Cells (G1/S),n_cells,pairwise,,,,,,,9426.5,0.15279238534178857,0.2114773499540326,ok,pairwise,S3,S5,562.0,31.0,0.49110320284697506,0.03225806451612903,0.45884513833084606
Plasma Cells,n_cells,pairwise,,,,,,,89230.0,0.16150230442670443,0.22276179920924752,ok,pairwise,S2,S4,555.0,330.0,0.24324324324324326,1.5454545454545454,-1.3022113022113022
Mast Cells,n_cells,pairwise,,,,,,,9512.5,0.1666186065270172,0.22902901240827106,ok,pairwise,S3,S5,562.0,31.0,0.35231316725978645,0.0967741935483871,0.25553897371139933
Myeloid Cells,fraction,pairwise,,,,,,,4068.0,0.16726429583322788,0.22912917237428476,ok,pairwise,S2,S5,334.0,26.0,0.0014616749856544069,0.00030073348702041675,0.0011609414986339902
"CAFs, Invasive Associated",fraction,pairwise,,,,,,,4886.5,0.16821575966343627,0.2296460882777287,ok,pairwise,S2,S5,334.0,26.0,0.04841487587439291,0.0005449648682535209,0.04786991100613939
11q13 Invasive Tumor Cells,fraction,pairwise,,,,,,,7152.0,0.17177307840471545,0.23370486857784414,ok,pairwise,S3,S5,486.0,26.0,0.05510775860141752,0.006145292192446329,0.04896246640897119
Basal-like Structured DCIS Cells,n_cells,pairwise,,,,,,,161492.5,0.17591180215482916,0.23852447749807343,ok,pairwise,S2,S3,555.0,562.0,3.78018018018018,2.122775800711744,1.6574043794684363
Myeloid Cells,fraction,pairwise,,,,,,,1112.0,0.17955739861804776,0.24264513326763212,ok,pairwise,S1,S5,76.0,26.0,0.001612357113284619,0.00030073348702041675,0.0013116236262642022
Basal-like Structured DCIS Cells,fraction,pairwise,,,,,,,13860.0,0.18204019867284826,0.2451719847445768,ok,pairwise,S1,S2,76.0,334.0,0.05266485905856183,0.165110733363356,-0.11244587430479416
11q13 Invasive Tumor Cells (Mitotic),fraction,pairwise,,,,,,,78666.5,0.1877605828827974,0.2520276280306005,ok,pairwise,S2,S3,334.0,486.0,0.009610477008780982,0.0057254896289977986,0.0038849873797831835
Myeloid Cells,fraction,pairwise,,,,,,,17146.5,0.1897392459164935,0.2538317671123659,ok,pairwise,S1,S3,76.0,486.0,0.001612357113284619,0.02714590043972934,-0.02553354332644472
Unassigned,n_cells,pairwise,,,,,,,91297.5,0.19548839802105933,0.2606511973614124,ok,pairwise,S2,S4,555.0,330.0,0.0,0.00909090909090909,-0.00909090909090909
Dendritic Cells,n_cells,pairwise,,,,,,,150377.5,0.19640937634999356,0.261009138006636,ok,pairwise,S2,S3,555.0,562.0,3.5153153153153154,1.9270462633451957,1.5882690519701197
Plasma Cells,n_cells,pairwise,,,,,,,28719.5,0.2091223420532904,0.2769832345076694,ok,pairwise,S1,S2,100.0,555.0,0.21,0.24324324324324326,-0.033243243243243265
Myeloid Cells,n_cells,pairwise,,,,,,,1697.0,0.21401698856879836,0.2825306779786117,ok,pairwise,S1,S5,100.0,31.0,1.46,0.0967741935483871,1.363225806451613
Unassigned,fraction,pairwise,,,,,,,36072.0,0.2161172903068047,0.2843648556668483,ok,pairwise,S2,S4,334.0,217.0,0.0,5.615306577021417e-06,-5.615306577021417e-06
B Cells,n_cells,pairwise,,,,,,,9597.5,0.22518850969410587,0.2945428138336674,ok,pairwise,S3,S5,562.0,31.0,1.3647686832740213,0.2903225806451613,1.07444610262886
Plasma Cells,fraction,pairwise,,,,,,,34990.0,0.2253252525827556,0.2945428138336674,ok,pairwise,S2,S4,334.0,217.0,0.00631163977121101,0.011404802265630995,-0.005093162494419985
Plasma Cells,fraction,pairwise,,,,,,,17479.0,0.2395243763575574,0.31208387799030285,ok,pairwise,S1,S3,76.0,486.0,0.00021791292515208947,0.0042188987531279355,-0.004000985827975846
Plasma Cells,n_cells,pairwise,,,,,,,26902.0,0.25373411813565905,0.32952482874760913,ok,pairwise,S1,S3,100.0,562.0,0.21,0.39679715302491103,-0.18679715302491104
"CAFs, DCIS Associated",fraction,pairwise,,,,,,,11868.5,0.27875802274779804,0.36085180938226286,ok,pairwise,S1,S2,76.0,334.0,0.0028057455582461846,0.054623582887277276,-0.05181783732903109
Myoepithelial Cells,fraction,pairwise,,,,,,,50603.5,0.28438129407405355,0.3669436052568433,ok,pairwise,S3,S4,486.0,217.0,0.022329015980367697,0.13444226100331713,-0.11211324502294943
Mast Cells,fraction,pairwise,,,,,,,37041.0,0.2858056466871145,0.367595687057382,ok,pairwise,S2,S4,334.0,217.0,0.0011012374656548807,0.0012762223587486896,-0.00017498489309380897
11q13 Invasive Tumor Cells,n_cells,pairwise,,,,,,,9466.5,0.3032695414229136,0.3888071043883508,ok,pairwise,S3,S5,562.0,31.0,7.140569395017794,0.5161290322580645,6.62444036275973
Dendritic Cells,n_cells,pairwise,,,,,,,7939.0,0.310890283206675,0.39730387630246006,ok,pairwise,S3,S5,562.0,31.0,1.9270462633451957,1.8064516129032258,0.12059465044196993
Myeloid Cells,n_cells,pairwise,,,,,,,4892.5,0.31335485877776936,0.39917816404811385,ok,pairwise,S4,S5,330.0,31.0,0.296969696969697,0.0967741935483871,0.2001955034213099
Mast Cells,n_cells,pairwise,,,,,,,4941.0,0.3145542619750967,0.3994339834604403,ok,pairwise,S4,S5,330.0,31.0,0.4090909090909091,0.0967741935483871,0.31231671554252205
11q13 Invasive Tumor Cells (G1/S),fraction,pairwise,,,,,,,4591.5,0.3236851262766469,0.4097280079451227,ok,pairwise,S2,S5,334.0,26.0,0.00637871783862441,7.586102260658475e-05,0.006302856816017825
"CAFs, Invasive Associated",n_cells,pairwise,,,,,,,4823.5,0.3361597862052602,0.4241763863788772,ok,pairwise,S4,S5,330.0,31.0,0.2727272727272727,0.5161290322580645,-0.2434017595307918
B Cells,n_cells,pairwise,,,,,,,4798.5,0.33885890902456794,0.4261912958358775,ok,pairwise,S4,S5,330.0,31.0,1.606060606060606,0.2903225806451613,1.3157380254154447
Luminal-like Amorphous DCIS Cells,fraction,pairwise,,,,,,,12540.0,0.33988755842911234,0.4261912958358775,ok,pairwise,S1,S2,76.0,334.0,0.0,0.0008991335917114372,-0.0008991335917114372
11q13 Invasive Tumor Cells (G1/S),n_cells,pairwise,,,,,,,5012.5,0.3643852014089721,0.45548150176121516,ok,pairwise,S4,S5,330.0,31.0,0.015151515151515152,0.03225806451612903,-0.01710654936461388
Macrophages,fraction,pairwise,,,,,,,4662.0,0.36555078031914123,0.45551499105188936,ok,pairwise,S2,S5,334.0,26.0,0.016830996221619193,0.00027863255932682673,0.016552363662292367
Mast Cells,fraction,pairwise,,,,,,,13062.0,0.3872980932970854,0.4811156438473111,ok,pairwise,S1,S2,76.0,334.0,4.8491669826384585e-05,0.0011012374656548807,-0.001052745795828496
Basal-like Structured DCIS Cells,n_cells,pairwise,,,,,,,8120.0,0.39291231297120643,0.48657871575381606,ok,pairwise,S3,S5,562.0,31.0,2.122775800711744,1.6451612903225807,0.47761451038916314
Luminal-like Amorphous DCIS Cells,n_cells,pairwise,,,,,,,27550.0,0.3960065935462014,0.4887476393583756,ok,pairwise,S1,S2,100.0,555.0,0.0,0.02882882882882883,-0.02882882882882883
Dendritic Cells,n_cells,pairwise,,,,,,,1690.0,0.3971074569786802,0.4887476393583756,ok,pairwise,S1,S5,100.0,31.0,5.63,1.8064516129032258,3.823548387096774
Macrophages,fraction,pairwise,,,,,,,3017.0,0.3984085798465644,0.48884488324731823,ok,pairwise,S4,S5,217.0,26.0,0.011780049556769374,0.00027863255932682673,0.011501416997442547
Mast Cells,n_cells,pairwise,,,,,,,92582.5,0.4041096559973659,0.49432373822307757,ok,pairwise,S2,S4,555.0,330.0,0.09009009009009009,0.4090909090909091,-0.319000819000819
Pericytes,fraction,pairwise,,,,,,,37161.0,0.41010790176426437,0.5001315875173956,ok,pairwise,S2,S4,334.0,217.0,0.013549200843770563,0.008123250664564196,0.005425950179206367
CXCL14+ Fibroblasts,n_cells,pairwise,,,,,,,90007.5,0.4163724936758514,0.5062279558369014,ok,pairwise,S2,S4,555.0,330.0,0.409009009009009,4.554545454545455,-4.145536445536446
T Lymphocytes,n_cells,pairwise,,,,,,,1650.0,0.44572091011947856,0.5402677698417921,ok,pairwise,S1,S5,100.0,31.0,1.32,0.5806451612903226,0.7393548387096774
Unassigned,n_cells,pairwise,,,,,,,27950.0,0.4658251387726864,0.5629306812962978,ok,pairwise,S1,S3,100.0,562.0,0.0,0.0071174377224199285,-0.0071174377224199285
"CAFs, DCIS Associated",fraction,pairwise,,,,,,,4037.0,0.4690261642275607,0.5650917641295912,ok,pairwise,S2,S5,334.0,26.0,0.054623582887277276,0.01025884154487899,0.04436474134239829
"CAFs, DCIS Associated",n_cells,pairwise,,,,,,,5487.0,0.47209722611562843,0.567083755093848,ok,pairwise,S4,S5,330.0,31.0,53.415151515151514,4.612903225806452,48.80224828934506
Dendritic Cells,fraction,pairwise,,,,,,,19291.0,0.47489314615036915,0.5687343067669092,ok,pairwise,S1,S3,76.0,486.0,0.019404950766931814,0.028599733164416018,-0.009194782397484204
Unassigned,fraction,pairwise,,,,,,,18354.0,0.49451414082113654,0.5904646457565809,ok,pairwise,S1,S3,76.0,486.0,0.0,1.0906258324225692e-05,-1.0906258324225692e-05
Myeloid Cells,n_cells,pairwise,,,,,,,27239.5,0.4970946275604453,0.5917793185243396,ok,pairwise,S1,S3,100.0,562.0,1.46,1.0551601423487544,0.4048398576512455
T Lymphocytes,n_cells,pairwise,,,,,,,17014.5,0.5008332738914704,0.5944608592183624,ok,pairwise,S1,S4,100.0,330.0,1.32,3.6606060606060606,-2.340606060606061
T Lymphocytes,fraction,pairwise,,,,,,,1056.0,0.5042996550609107,0.5968043255158706,ok,pairwise,S1,S5,76.0,26.0,0.0007831287842900265,0.0007862106076166354,-3.0818233266088685e-06
11q13 Invasive Tumor Cells (G1/S),fraction,pairwise,,,,,,,2765.5,0.5090232714552371,0.6006174294457075,ok,pairwise,S4,S5,217.0,26.0,0.0012604156352588138,7.586102260658475e-05,0.001184554612652229
Plasma Cells,fraction,pairwise,,,,,,,53759.0,0.5135573855845161,0.6041851595111954,ok,pairwise,S3,S4,486.0,217.0,0.0042188987531279355,0.011404802265630995,-0.0071859035125030595
Mast Cells,n_cells,pairwise,,,,,,,8404.0,0.5376070909079788,0.6306241535577464,ok,pairwise,S2,S5,555.0,31.0,0.09009009009009009,0.0967741935483871,-0.006684103458297008
Apocrine Cells,fraction,pairwise,,,,,,,81544.5,0.5465333216886198,0.6384211468536165,ok,pairwise,S2,S3,334.0,486.0,0.0013949648058547977,0.00044784775728671844,0.0009471170485680792
Mast Cells,fraction,pairwise,,,,,,,2744.0,0.5474461334269761,0.6384211468536165,ok,pairwise,S4,S5,217.0,26.0,0.0012762223587486896,8.273460127361622e-05,0.0011934877574750734
CXCL14+ Fibroblasts,fraction,pairwise,,,,,,,35542.0,0.553448054637365,0.6435442495783313,ok,pairwise,S2,S4,334.0,217.0,0.014592941775796212,0.016067856343946297,-0.001474914568150085
Unassigned,fraction,pairwise,,,,,,,8208.0,0.5592096786970577,0.6474424963132979,ok,pairwise,S1,S4,76.0,217.0,0.0,5.615306577021417e-06,-5.615306577021417e-06
11q13 Invasive Tumor Cells (G1/S),n_cells,pairwise,,,,,,,8813.5,0.5600377593110026,0.6474424963132979,ok,pairwise,S2,S5,555.0,31.0,0.13693693693693693,0.03225806451612903,0.1046788724208079
Unassigned,n_cells,pairwise,,,,,,,16450.0,0.5857692925352638,0.6752383775622638,ok,pairwise,S1,S4,100.0,330.0,0.0,0.00909090909090909,-0.00909090909090909
Plasma Cells,fraction,pairwise,,,,,,,8046.0,0.5989750510102481,0.6884770701267219,ok,pairwise,S1,S4,76.0,217.0,0.00021791292515208947,0.011404802265630995,-0.011186889340478906
Endothelial Cells,fraction,pairwise,,,,,,,36845.0,0.6047595398317134,0.693134143073597,ok,pairwise,S2,S4,334.0,217.0,0.010604231108778976,0.011147970430393443,-0.0005437393216144674
Myeloid Cells,fraction,pairwise,,,,,,,2739.0,0.6136505996916751,0.7013149710762001,ok,pairwise,S4,S5,217.0,26.0,0.003586206579790226,0.00030073348702041675,0.0032854730927698093
Unassigned,n_cells,pairwise,,,,,,,92942.5,0.6219364226828423,0.7087594560488232,ok,pairwise,S3,S4,562.0,330.0,0.0071174377224199285,0.00909090909090909,-0.001973471368489162
Pericytes,n_cells,pairwise,,,,,,,92440.0,0.6364145994727349,0.7231984084917443,ok,pairwise,S2,S4,555.0,330.0,0.6288288288288288,5.115151515151515,-4.486322686322686
T Lymphocytes,n_cells,pairwise,,,,,,,5294.0,0.641272888496228,0.7266548311571989,ok,pairwise,S4,S5,330.0,31.0,3.6606060606060606,0.5806451612903226,3.079960899315738
CXCL14+ Fibroblasts,n_cells,pairwise,,,,,,,1624.5,0.6463036590399455,0.7302866203841192,ok,pairwise,S1,S5,100.0,31.0,5.84,2.7419354838709675,3.0980645161290323
Dendritic Cells,fraction,pairwise,,,,,,,1044.5,0.649602104075314,0.7319460327609173,ok,pairwise,S1,S5,76.0,26.0,0.019404950766931814,0.010402233421219346,0.009002717345712468
Apocrine Cells,fraction,pairwise,,,,,,,52543.0,0.6815834138002637,0.7658240604497345,ok,pairwise,S3,S4,486.0,217.0,0.00044784775728671844,0.000458175190995404,-1.0327433708685581e-05
Unassigned,n_cells,pairwise,,,,,,,8757.5,0.6868753410908695,0.7696082253118984,ok,pairwise,S3,S5,562.0,31.0,0.0071174377224199285,0.0,0.0071174377224199285
Unassigned,fraction,pairwise,,,,,,,6357.0,0.691917007592399,0.7711177608750713,ok,pairwise,S3,S5,486.0,26.0,1.0906258324225692e-05,0.0,1.0906258324225692e-05
Basal-like Structured DCIS Cells,n_cells,pairwise,,,,,,,8319.5,0.6920781903853765,0.7711177608750713,ok,pairwise,S2,S5,555.0,31.0,3.78018018018018,1.6451612903225807,2.1350188898575997
B Cells,n_cells,pairwise,,,,,,,27319.0,0.7248905088771945,0.8054338987524384,ok,pairwise,S1,S2,100.0,555.0,0.9,2.145945945945946,-1.2459459459459459
Macrophages,n_cells,pairwise,,,,,,,90854.5,0.730484865843944,0.8094015134004919,ok,pairwise,S2,S4,555.0,330.0,0.9063063063063063,2.8666666666666667,-1.9603603603603603
Basal-like Structured DCIS Cells,fraction,pairwise,,,,,,,6122.5,0.7354246409486117,0.8123758584689015,ok,pairwise,S3,S5,486.0,26.0,0.018741602133558626,0.013348297155907175,0.005393304977651451
B Cells,n_cells,pairwise,,,,,,,8819.5,0.7384144733473691,0.8123758584689015,ok,pairwise,S2,S5,555.0,31.0,2.145945945945946,0.2903225806451613,1.8556233653007845
Unassigned,fraction,pairwise,,,,,,,2834.0,0.7392620312067004,0.8123758584689015,ok,pairwise,S4,S5,217.0,26.0,5.615306577021417e-06,0.0,5.615306577021417e-06
Mast Cells,fraction,pairwise,,,,,,,1010.0,0.7490077091283307,0.8208303661680336,ok,pairwise,S1,S5,76.0,26.0,4.8491669826384585e-05,8.273460127361622e-05,-3.4242931447231636e-05
Unassigned,n_cells,pairwise,,,,,,,5130.5,0.7667655013866472,0.8379950834826746,ok,pairwise,S4,S5,330.0,31.0,0.00909090909090909,0.0,0.00909090909090909
Plasma Cells,n_cells,pairwise,,,,,,,16659.5,0.7718664977077692,0.8412713871474322,ok,pairwise,S1,S4,100.0,330.0,0.21,1.5454545454545454,-1.3354545454545454
Mast Cells,n_cells,pairwise,,,,,,,1573.0,0.7912273435728394,0.8600297212748255,ok,pairwise,S1,S5,100.0,31.0,0.11,0.0967741935483871,0.013225806451612906
Plasma Cells,fraction,pairwise,,,,,,,12823.0,0.7983921958290316,0.8654657949366197,ok,pairwise,S1,S2,76.0,334.0,0.00021791292515208947,0.00631163977121101,-0.006093726846058921
Unassigned,fraction,pairwise,,,,,,,52813.0,0.8014278413116036,0.8664084770936255,ok,pairwise,S3,S4,486.0,217.0,1.0906258324225692e-05,5.615306577021417e-06,5.290951747204275e-06
Macrophages,fraction,pairwise,,,,,,,36524.5,0.8218071874503844,0.8860454851217082,ok,pairwise,S2,S4,334.0,217.0,0.016830996221619193,0.011780049556769374,0.005050946664849818
Pericytes,n_cells,pairwise,,,,,,,1583.0,0.8363153242281867,0.8992637894926738,ok,pairwise,S1,S5,100.0,31.0,7.68,2.032258064516129,5.647741935483871
11q13 Invasive Tumor Cells,n_cells,pairwise,,,,,,,8733.5,0.8457389682077432,0.9069586790431563,ok,pairwise,S2,S5,555.0,31.0,3.081081081081081,0.5161290322580645,2.5649520488230166
CXCL14+ Fibroblasts,fraction,pairwise,,,,,,,1011.5,0.8496139814864205,0.9086780550656903,ok,pairwise,S1,S5,76.0,26.0,0.005692842126951685,0.004547159380153441,0.0011456827467982442
B Cells,fraction,pairwise,,,,,,,2857.0,0.881116212188239,0.9385901803241848,ok,pairwise,S4,S5,217.0,26.0,0.014650502015040999,0.0008516122252698575,0.01379888978977114
Macrophages,n_cells,pairwise,,,,,,,8525.5,0.8822747695047337,0.9385901803241848,ok,pairwise,S2,S5,555.0,31.0,0.9063063063063063,0.3225806451612903,0.5837256611450159
B Cells,fraction,pairwise,,,,,,,8182.0,0.8880476854166127,0.942225660919483,ok,pairwise,S1,S4,76.0,217.0,0.0006549757654305975,0.014650502015040999,-0.013995526249610401
B Cells,n_cells,pairwise,,,,,,,1567.5,0.8914307697339919,0.9425007275223489,ok,pairwise,S1,S5,100.0,31.0,0.9,0.2903225806451613,0.6096774193548387
Pericytes,fraction,pairwise,,,,,,,1004.5,0.8930194393274257,0.9425007275223489,ok,pairwise,S1,S5,76.0,26.0,0.004538521727193776,0.004209248211766553,0.0003292735154272232
Endothelial Cells,fraction,pairwise,,,,,,,972.0,0.8957815800235933,0.9429279789722035,ok,pairwise,S1,S5,76.0,26.0,0.003822386355861836,0.00617363739703606,-0.002351251041174224
Dendritic Cells,fraction,pairwise,,,,,,,6244.0,0.9074209326847522,0.9526728952070889,ok,pairwise,S3,S5,486.0,26.0,0.028599733164416018,0.010402233421219346,0.01819749974319667
Apocrine Cells,fraction,pairwise,,,,,,,36281.0,0.9126493918215965,0.9539119231729283,ok,pairwise,S2,S4,334.0,217.0,0.0013949648058547977,0.000458175190995404,0.0009367896148593936
Endothelial Cells,n_cells,pairwise,,,,,,,1567.5,0.9133706664380788,0.9539119231729283,ok,pairwise,S1,S5,100.0,31.0,7.13,2.161290322580645,4.968709677419355
Apocrine Cells,fraction,pairwise,,,,,,,996.0,0.9208261345534513,0.959193890159845,ok,pairwise,S1,S5,76.0,26.0,0.0006780542314998804,0.02413996720969152,-0.02346191297819164
Endothelial Cells,n_cells,pairwise,,,,,,,91703.0,0.9470206507548076,0.9839175592257742,ok,pairwise,S2,S4,555.0,330.0,0.9477477477477477,5.7727272727272725,-4.824979524979525
"CAFs, Invasive Associated",n_cells,pairwise,,,,,,,8635.0,0.9564440119575208,0.99113369114769,ok,pairwise,S2,S5,555.0,31.0,1.5657657657657658,0.5161290322580645,1.0496367335077013
Mast Cells,fraction,pairwise,,,,,,,4330.0,0.9592807318224891,0.9915046323746657,ok,pairwise,S2,S5,334.0,26.0,0.0011012374656548807,8.273460127361622e-05,0.0010185028643812644
"CAFs, Invasive Associated",fraction,pairwise,,,,,,,2811.0,0.9653546248842251,0.994476207109948,ok,pairwise,S4,S5,217.0,26.0,0.03845669990930821,0.0005449648682535209,0.03791173504105469
Apocrine Cells,n_cells,pairwise,,,,,,,92704.5,0.9671281114144245,0.994476207109948,ok,pairwise,S3,S4,562.0,330.0,0.010676156583629894,1.1545454545454545,-1.1438692979618246
Apocrine Cells,n_cells,pairwise,,,,,,,1553.0,0.9791684873862475,1.0,ok,pairwise,S1,S5,100.0,31.0,0.13,0.6451612903225806,-0.5151612903225806
Apocrine Cells,n_cells,pairwise,,,,,,,155975.5,0.9818572771069447,1.0,ok,pairwise,S2,S3,555.0,562.0,0.0990990990990991,0.010676156583629894,0.0884229425154692
Apocrine Cells,n_cells,pairwise,,,,,,,91561.0,0.9821334864797494,1.0,ok,pairwise,S2,S4,555.0,330.0,0.0990990990990991,1.1545454545454545,-1.0554463554463553
Macrophages,n_cells,pairwise,,,,,,,5110.0,0.9888401524893301,1.0,ok,pairwise,S4,S5,330.0,31.0,2.8666666666666667,0.3225806451612903,2.544086021505376
B Cells,fraction,pairwise,,,,,,,989.0,0.9958801330872764,1.0,ok,pairwise,S1,S5,76.0,26.0,0.0006549757654305975,0.0008516122252698575,-0.00019663645983926002
Unassigned,fraction,pairwise,,,,,,,12692.0,1.0,1.0,ok,pairwise,S1,S2,76.0,334.0,0.0,0.0,0.0
Unassigned,fraction,pairwise,,,,,,,988.0,1.0,1.0,ok,pairwise,S1,S5,76.0,26.0,0.0,0.0,0.0
Unassigned,fraction,pairwise,,,,,,,4342.0,1.0,1.0,ok,pairwise,S2,S5,334.0,26.0,0.0,0.0,0.0
Unassigned,n_cells,pairwise,,,,,,,27750.0,1.0,1.0,ok,pairwise,S1,S2,100.0,555.0,0.0,0.0,0.0
Unassigned,n_cells,pairwise,,,,,,,1550.0,1.0,1.0,ok,pairwise,S1,S5,100.0,31.0,0.0,0.0,0.0
Unassigned,n_cells,pairwise,,,,,,,8602.5,1.0,1.0,ok,pairwise,S2,S5,555.0,31.0,0.0,0.0,0.0
