program,feature_kind,feature_name,effect_size,p_value,matched_control_delta,fdr
emt_invasive_front,marker_pair,spp1_cd44__outer_minus_inner,1.0990138246053045,0.19670560245894686,1.0990138246053045,0.9284504436062292
emt_invasive_front,marker_pair,cxcl12_cxcr4__outer_minus_inner,0.9337359837562956,1.0,0.9337359837562956,1.0
emt_invasive_front,marker_pair,tgfb1_tgfbr2__outer_minus_inner,0.5222321064404721,1.0,0.5222321064404721,1.0
emt_invasive_front,gene,VIM,0.24142346158451686,0.5049850750938458,0.24142346158451686,1.0
emt_invasive_front,marker_pair,vegfa_kdr__outer_minus_inner,0.16235299600051153,0.5049850750938458,0.16235299600051153,1.0
emt_invasive_front,gene,CD3E,0.1338776664037444,0.5049850750938458,0.1338776664037444,1.0
emt_invasive_front,gene,CXCR4,0.1338776664037444,0.5049850750938458,0.1338776664037444,1.0
emt_invasive_front,gene,LDHA,0.11857508950235257,0.5049850750938458,0.11857508950235257,1.0
emt_invasive_front,gene,COL4A1,0.11654266314284988,0.5049850750938458,0.11654266314284988,1.0
emt_invasive_front,gene,CD3D,0.10014864952732615,0.5049850750938458,0.10014864952732615,1.0
emt_invasive_front,gene,TRAC,0.10014864952732615,0.5049850750938458,0.10014864952732615,1.0
emt_invasive_front,gene,PRF1,0.10014864952732615,0.5049850750938458,0.10014864952732615,1.0
emt_invasive_front,gene,HILPDA,0.10014864952732615,0.5049850750938458,0.10014864952732615,1.0
emt_invasive_front,gene,CXCR5,0.10014864952732615,0.5049850750938458,0.10014864952732615,1.0
emt_invasive_front,pathway,hypoxia_necrosis,0.027585741998622595,0.5049850750938458,0.027585741998622595,1.0
emt_invasive_front,pathway,immune_activation,0.02332289627112856,0.5049850750938458,0.02332289627112856,1.0
emt_invasive_front,pathway,tls_activation,0.013538369469704777,0.5049850750938458,0.013538369469704777,1.0
emt_invasive_front,gene,CXCL12,0.007860951629645618,1.0,0.007860951629645582,1.0
emt_invasive_front,pathway,vascular_stromal,0.0058966434959849085,0.5049850750938458,0.0058966434959849085,1.0
emt_invasive_front,gene,GZMB,0.0,1.0,0.0,1.0
emt_invasive_front,gene,CXCL13,0.0,1.0,0.0,1.0
emt_invasive_front,gene,MS4A1,0.0,1.0,0.0,1.0
emt_invasive_front,gene,CD68,0.0,1.0,0.0,1.0
emt_invasive_front,gene,CD163,0.0,1.0,0.0,1.0
emt_invasive_front,gene,LST1,0.0,1.0,0.0,1.0
emt_invasive_front,gene,TYROBP,0.0,1.0,0.0,1.0
emt_invasive_front,gene,SPP1,0.0,1.0,0.0,1.0
emt_invasive_front,gene,HLA-DRA,0.0,1.0,0.0,1.0
emt_invasive_front,gene,PECAM1,0.0,1.0,0.0,1.0
emt_invasive_front,gene,EMCN,0.0,1.0,0.0,1.0
emt_invasive_front,gene,RGS5,0.0,1.0,0.0,1.0
emt_invasive_front,gene,ACTA2,0.0,1.0,0.0,1.0
emt_invasive_front,gene,COL4A2,0.0,1.0,0.0,1.0
emt_invasive_front,gene,VEGFA,0.0,1.0,0.0,1.0
emt_invasive_front,gene,COL1A1,0.0,1.0,0.0,1.0
emt_invasive_front,gene,FN1,0.0,1.0,0.0,1.0
emt_invasive_front,gene,MMP11,0.0,1.0,0.0,1.0
emt_invasive_front,gene,COL3A1,0.0,1.0,0.0,1.0
emt_invasive_front,gene,FAP,0.0,1.0,0.0,1.0
emt_invasive_front,gene,CD79A,0.0,1.0,0.0,1.0
emt_invasive_front,gene,JCHAIN,0.0,1.0,0.0,1.0
emt_invasive_front,gene,CA9,0.0,1.0,0.0,1.0
emt_invasive_front,gene,ENO1,0.0,1.0,0.0,1.0
emt_invasive_front,gene,SLC2A1,0.0,1.0,0.0,1.0
emt_invasive_front,gene,CD44,0.0,1.0,0.0,1.0
emt_invasive_front,gene,TGFB1,0.0,1.0,0.0,1.0
emt_invasive_front,gene,KDR,0.0,1.0,0.0,1.0
emt_invasive_front,pathway,myeloid_activation,0.0,1.0,0.0,1.0
emt_invasive_front,marker_pair,spp1_cd44__cross_zone,0.0,1.0,0.0,1.0
emt_invasive_front,marker_pair,cxcl13_cxcr5__cross_zone,0.0,1.0,0.0,1.0
emt_invasive_front,marker_pair,cxcl13_cxcr5__outer_minus_inner,0.0,1.0,0.0,1.0
emt_invasive_front,marker_pair,cxcl12_cxcr4__cross_zone,0.0,1.0,0.0,1.0
emt_invasive_front,marker_pair,tgfb1_tgfbr2__cross_zone,0.0,1.0,0.0,1.0
emt_invasive_front,marker_pair,vegfa_kdr__cross_zone,0.0,1.0,0.0,1.0
emt_invasive_front,pathway,emt_invasion,-0.04543194711924794,1.0,-0.04543194711924794,1.0
emt_invasive_front,pathway,stromal_matrix,-0.0646493006413704,1.0,-0.0646493006413704,1.0
emt_invasive_front,gene,TGFBR2,-0.4806935688068485,1.0,-0.4806935688068485,1.0
emt_invasive_front,gene,COL1A2,-0.5260933260139791,1.0,-0.5260933260139791,1.0
emt_invasive_front,gene,TAGLN,-0.8507075986346003,0.5049850750938458,-0.8507075986346003,1.0
immune_exclusion,marker_pair,spp1_cd44__outer_minus_inner,0.4633902757419944,0.12118327283746319,0.4633902757419944,0.9284504436062292
immune_exclusion,pathway,immune_activation,-0.013225431888588617,0.19670560245894686,-0.013225431888588617,0.9284504436062292
immune_exclusion,pathway,myeloid_activation,-0.022910065835772975,0.19670560245894686,-0.022910065835772975,0.9284504436062292
immune_exclusion,marker_pair,cxcl13_cxcr5__cross_zone,-0.029649389217939203,0.19670560245894686,-0.029649389217939203,0.9284504436062292
immune_exclusion,pathway,stromal_matrix,-0.03474030184425784,0.19670560245894686,-0.03474030184425784,0.9284504436062292
immune_exclusion,pathway,emt_invasion,-0.04334708806314641,0.19670560245894686,-0.04334708806314641,0.9284504436062292
immune_exclusion,marker_pair,cxcl12_cxcr4__cross_zone,-0.05060077931405884,0.19670560245894686,-0.05060077931405884,0.9284504436062292
immune_exclusion,marker_pair,spp1_cd44__cross_zone,-0.09315478526601699,0.19670560245894686,-0.09315478526601699,0.9284504436062292
immune_exclusion,pathway,vascular_stromal,-0.1122835616048119,0.06360256962075367,-0.1122835616048119,0.9284504436062292
immune_exclusion,gene,CA9,-0.1473278274219784,0.19670560245894686,-0.1473278274219784,0.9284504436062292
immune_exclusion,pathway,hypoxia_necrosis,-0.1517594867582772,0.06360256962075367,-0.1517594867582772,0.9284504436062292
immune_exclusion,gene,PECAM1,-0.162023521581822,0.19670560245894686,-0.162023521581822,0.9284504436062292
immune_exclusion,gene,GZMB,-0.18581171297290763,0.19670560245894686,-0.18581171297290763,0.9284504436062292
immune_exclusion,gene,CD163,-0.18780357873676845,0.19670560245894686,-0.18780357873676845,0.9284504436062292
immune_exclusion,marker_pair,vegfa_kdr__cross_zone,-0.1973082222623732,0.19670560245894686,-0.1973082222623732,0.9284504436062292
immune_exclusion,gene,EMCN,-0.20717023678437974,0.19670560245894686,-0.20717023678437974,0.9284504436062292
immune_exclusion,gene,TAGLN,-0.2616598173345866,0.19670560245894686,-0.2616598173345866,0.9284504436062292
immune_exclusion,gene,KDR,-0.2669994815619557,0.19670560245894686,-0.2669994815619557,0.9284504436062292
immune_exclusion,gene,VIM,-0.27333749233776133,0.19670560245894686,-0.27333749233776133,0.9284504436062292
immune_exclusion,gene,VEGFA,-0.6012363402817525,0.19670560245894686,-0.6012363402817525,0.9284504436062292
immune_exclusion,gene,LDHA,-0.8095481417402962,0.19670560245894686,-0.8095481417402962,0.9284504436062292
immune_exclusion,gene,COL4A1,-0.823416004675694,0.19670560245894686,-0.823416004675694,0.9284504436062292
immune_exclusion,marker_pair,cxcl12_cxcr4__outer_minus_inner,1.487692313990227,0.26828588367711736,1.487692313990227,1.0
immune_exclusion,marker_pair,tgfb1_tgfbr2__outer_minus_inner,1.0770605954327714,0.5065551690490403,1.0770605954327717,1.0
immune_exclusion,marker_pair,vegfa_kdr__outer_minus_inner,1.0760765782031094,0.26828588367711736,1.0760765782031092,1.0
immune_exclusion,gene,CXCL12,0.29136077236044633,0.6579050194284821,0.2913607723604461,1.0
immune_exclusion,marker_pair,cxcl13_cxcr5__outer_minus_inner,0.22867369255730813,0.26828588367711736,0.2286736925573081,1.0
immune_exclusion,gene,CD3D,0.0,1.0,0.0,1.0
immune_exclusion,gene,MS4A1,0.0,1.0,0.0,1.0
immune_exclusion,gene,LST1,0.0,1.0,0.0,1.0
immune_exclusion,gene,HLA-DRA,0.0,1.0,0.0,1.0
immune_exclusion,gene,RGS5,0.0,1.0,0.0,1.0
immune_exclusion,gene,JCHAIN,0.0,1.0,0.0,1.0
immune_exclusion,pathway,tls_activation,-0.0035191789683974594,0.5049850750938458,-0.0035191789683974594,1.0
immune_exclusion,gene,CXCL13,-0.005430603375329446,0.5049850750938458,-0.005430603375329446,1.0
immune_exclusion,gene,TYROBP,-0.005640726376699886,0.5049850750938458,-0.005640726376699886,1.0
immune_exclusion,gene,PRF1,-0.007375666644130644,0.5049850750938458,-0.007375666644130644,1.0
immune_exclusion,gene,ENO1,-0.01061353403355955,0.5049850750938458,-0.01061353403355955,1.0
immune_exclusion,gene,CXCR4,-0.01255308943626412,0.5049850750938458,-0.01255308943626412,1.0
immune_exclusion,gene,CD68,-0.013030016192401165,0.5049850750938458,-0.013030016192401165,1.0
immune_exclusion,gene,CD79A,-0.014267949210921895,0.5049850750938458,-0.014267949210921895,1.0
immune_exclusion,gene,CD3E,-0.015301688804038462,0.5049850750938458,-0.015301688804038462,1.0
immune_exclusion,gene,FAP,-0.021598492685192736,0.5049850750938458,-0.021598492685192736,1.0
immune_exclusion,marker_pair,tgfb1_tgfbr2__cross_zone,-0.02169934574700241,0.5049850750938458,-0.02169934574700241,1.0
immune_exclusion,gene,COL1A1,-0.02254988143345307,0.5049850750938458,-0.02254988143345307,1.0
immune_exclusion,gene,TGFB1,-0.030555121475569342,0.5049850750938458,-0.030555121475569342,1.0
immune_exclusion,gene,TRAC,-0.0323669523356881,0.5049850750938458,-0.0323669523356881,1.0
immune_exclusion,gene,MMP11,-0.04114757600479453,0.5049850750938458,-0.04114757600479453,1.0
immune_exclusion,gene,COL1A2,-0.042317766391693136,0.5049850750938458,-0.042317766391693136,1.0
immune_exclusion,gene,COL3A1,-0.0806563234936112,0.5049850750938458,-0.0806563234936112,1.0
immune_exclusion,gene,HILPDA,-0.08615823244239366,0.5049850750938458,-0.08615823244239366,1.0
immune_exclusion,gene,COL4A2,-0.11428989262222984,0.5049850750938458,-0.11428989262222984,1.0
immune_exclusion,gene,FN1,-0.13119978753502237,0.5049850750938458,-0.13119978753502237,1.0
immune_exclusion,gene,SPP1,-0.13638426846291912,0.5049850750938458,-0.13638426846291912,1.0
immune_exclusion,gene,CXCR5,-0.13638426846291912,0.5049850750938458,-0.13638426846291912,1.0
immune_exclusion,gene,SLC2A1,-0.1496333788829188,0.5049850750938458,-0.1496333788829188,1.0
immune_exclusion,gene,TGFBR2,-0.18515954521135458,0.6428348264908044,-0.18515954521135466,1.0
immune_exclusion,gene,CD44,-0.23354101810721173,0.5049850750938458,-0.23354101810721173,1.0
immune_exclusion,gene,ACTA2,-0.31106299505625934,0.5049850750938458,-0.31106299505625934,1.0
myeloid_vascular_belt,gene,TAGLN,0.5272464307652047,0.19670560245894686,0.5272464307652047,0.9284504436062292
myeloid_vascular_belt,gene,SLC2A1,0.22176596646001281,0.19670560245894686,0.22176596646001281,0.9284504436062292
myeloid_vascular_belt,gene,VEGFA,0.18567525569370266,0.19670560245894686,0.18567525569370266,0.9284504436062292
myeloid_vascular_belt,gene,PECAM1,0.16589885603424243,0.19670560245894686,0.16589885603424243,0.9284504436062292
myeloid_vascular_belt,marker_pair,vegfa_kdr__cross_zone,0.16013847937650633,0.19670560245894686,0.16013847937650633,0.9284504436062292
myeloid_vascular_belt,marker_pair,tgfb1_tgfbr2__cross_zone,0.13917808318732847,0.19670560245894686,0.13917808318732847,0.9284504436062292
myeloid_vascular_belt,gene,HILPDA,0.13349711829877994,0.19670560245894686,0.13349711829877994,0.9284504436062292
myeloid_vascular_belt,gene,KDR,0.1233404723605519,0.19670560245894686,0.1233404723605519,0.9284504436062292
myeloid_vascular_belt,gene,RGS5,0.0817460362319042,0.19670560245894686,0.0817460362319042,0.9284504436062292
myeloid_vascular_belt,gene,ACTA2,0.07378731720177432,0.19670560245894686,0.07378731720177432,0.9284504436062292
myeloid_vascular_belt,gene,SPP1,0.06025177519402534,0.19670560245894686,0.06025177519402534,0.9284504436062292
myeloid_vascular_belt,gene,PRF1,0.06009394153483766,0.19670560245894686,0.06009394153483766,0.9284504436062292
myeloid_vascular_belt,gene,CXCR5,0.05730516380846878,0.19670560245894686,0.05730516380846878,0.9284504436062292
myeloid_vascular_belt,gene,EMCN,0.052380636878268744,0.19670560245894686,0.052380636878268744,0.9284504436062292
myeloid_vascular_belt,gene,TYROBP,0.03381772673739227,0.19670560245894686,0.03381772673739227,0.9284504436062292
myeloid_vascular_belt,gene,CD79A,0.03373520104827602,0.19670560245894686,0.03373520104827602,0.9284504436062292
myeloid_vascular_belt,gene,HLA-DRA,0.032922718982403266,0.19670560245894686,0.032922718982403266,0.9284504436062292
myeloid_vascular_belt,marker_pair,cxcl13_cxcr5__cross_zone,0.018091926781764,0.19670560245894686,0.018091926781764,0.9284504436062292
myeloid_vascular_belt,marker_pair,tgfb1_tgfbr2__outer_minus_inner,1.1803752498293771,0.7,1.1803752498293771,1.0
myeloid_vascular_belt,marker_pair,spp1_cd44__outer_minus_inner,0.6680054977870185,1.0,0.6680054977870183,1.0
myeloid_vascular_belt,marker_pair,cxcl13_cxcr5__outer_minus_inner,0.2423168670017984,0.6428348264908044,0.2423168670017984,1.0
myeloid_vascular_belt,gene,COL4A2,0.19227858480335633,0.6428348264908044,0.19227858480335636,1.0
myeloid_vascular_belt,gene,COL4A1,0.14140334130108298,0.6428348264908044,0.14140334130108298,1.0
myeloid_vascular_belt,marker_pair,spp1_cd44__cross_zone,0.12105533203418503,0.3536785173184648,0.12105533203418506,1.0
myeloid_vascular_belt,gene,CD44,0.11737454548816662,1.0,0.11737454548816663,1.0
myeloid_vascular_belt,pathway,vascular_stromal,0.045191220924910305,0.3536785173184648,0.04519122092491031,1.0
myeloid_vascular_belt,pathway,hypoxia_necrosis,0.038276184983303055,0.6428348264908044,0.03827618498330306,1.0
myeloid_vascular_belt,gene,ENO1,0.0334254368266697,0.5049850750938458,0.0334254368266697,1.0
myeloid_vascular_belt,gene,TGFB1,0.01606612021770027,0.5049850750938458,0.01606612021770027,1.0
myeloid_vascular_belt,gene,CD3D,0.011934804752699814,0.5049850750938458,0.011934804752699814,1.0
myeloid_vascular_belt,gene,MS4A1,0.010179608118512623,0.5049850750938458,0.010179608118512623,1.0
myeloid_vascular_belt,gene,CA9,0.008006566858280545,0.5049850750938458,0.008006566858280545,1.0
myeloid_vascular_belt,gene,GZMB,0.0064886683001353996,0.5049850750938458,0.0064886683001353996,1.0
myeloid_vascular_belt,pathway,myeloid_activation,0.005278521607412448,1.0,0.005278521607412445,1.0
myeloid_vascular_belt,gene,MMP11,0.0051337820565650295,0.5049850750938458,0.0051337820565650295,1.0
myeloid_vascular_belt,gene,JCHAIN,0.004718860406213763,0.5049850750938458,0.004718860406213763,1.0
myeloid_vascular_belt,gene,LST1,0.0027235483819742817,0.5049850750938458,0.0027235483819742817,1.0
myeloid_vascular_belt,pathway,emt_invasion,0.000821091045084682,1.0,0.000821091045084682,1.0
myeloid_vascular_belt,gene,FN1,0.00019628646121164217,1.0,0.00019628646121165141,1.0
myeloid_vascular_belt,pathway,stromal_matrix,-0.01426759203809043,1.0,-0.014267592038090434,1.0
myeloid_vascular_belt,pathway,tls_activation,-0.016499765045669912,1.0,-0.016499765045669912,1.0
myeloid_vascular_belt,gene,CD68,-0.02054875722630424,1.0,-0.020548757226304226,1.0
myeloid_vascular_belt,gene,CD163,-0.03017175787185286,1.0,-0.03017175787185285,1.0
myeloid_vascular_belt,pathway,immune_activation,-0.033124735839597935,1.0,-0.033124735839597935,1.0
myeloid_vascular_belt,marker_pair,vegfa_kdr__outer_minus_inner,-0.08770186089218197,0.6428348264908044,-0.08770186089218197,1.0
myeloid_vascular_belt,gene,LDHA,-0.0932082257101718,1.0,-0.0932082257101718,1.0
myeloid_vascular_belt,gene,COL1A1,-0.09447455242299238,1.0,-0.0944745524229924,1.0
myeloid_vascular_belt,gene,CXCL13,-0.127777978804793,1.0,-0.127777978804793,1.0
myeloid_vascular_belt,gene,TRAC,-0.17690101274969575,1.0,-0.17690101274969575,1.0
myeloid_vascular_belt,gene,TGFBR2,-0.18345182542108746,1.0,-0.18345182542108748,1.0
myeloid_vascular_belt,gene,VIM,-0.2008944980110196,1.0,-0.2008944980110197,1.0
myeloid_vascular_belt,gene,CXCR4,-0.22051179308466548,1.0,-0.22051179308466548,1.0
myeloid_vascular_belt,marker_pair,cxcl12_cxcr4__cross_zone,-0.23507568778299534,1.0,-0.23507568778299537,1.0
myeloid_vascular_belt,gene,FAP,-0.240918377446641,1.0,-0.24091837744664094,1.0
myeloid_vascular_belt,gene,COL3A1,-0.2790148479677403,1.0,-0.2790148479677403,1.0
myeloid_vascular_belt,gene,COL1A2,-0.2904751025358616,1.0,-0.2904751025358617,1.0
myeloid_vascular_belt,gene,CD3E,-0.40087345288209364,1.0,-0.4008734528820936,1.0
myeloid_vascular_belt,gene,CXCL12,-0.4481123951256971,1.0,-0.4481123951256971,1.0
myeloid_vascular_belt,marker_pair,cxcl12_cxcr4__outer_minus_inner,-1.4561330067235079,0.5065551690490403,-1.4561330067235077,1.0
necrotic_hypoxic_rim,gene,CD3E,0.9060928928699994,0.06360256962075367,0.9060928928699994,0.9284504436062292
necrotic_hypoxic_rim,gene,CXCR5,-0.144012334159373,0.19670560245894686,-0.144012334159373,0.9284504436062292
necrotic_hypoxic_rim,gene,ACTA2,-0.17896711662837875,0.19670560245894686,-0.17896711662837875,0.9284504436062292
